Parsing sort-1k-1M.log ...
Timings are given in milli-seconds (min time + 1 stddev)
COLUMNS:Length	Sub-size	Builder	Tweaker	SYSTEM	DPQS_2105_REF	DPQS_2105_NEW	
10000	256	REVERSE_FR	SPIRAL	 0.1982940	 0.0975890	 0.0994742	
10000	256	REVERSE_FR	STAGGER	 0.5270804	 0.1137532	 0.1137756	
10000	256	REVERSE_FR	SAWTOTH	 0.1028157	 0.1071519	 0.0997466	
10000	256	REVERSE_FR	_RANDOM	 0.4030617	 0.0690526	 0.0690880	
10000	256	REVERSE_FR	PLATEAU	 0.0047938	 0.0055302	 0.0055188	
10000	256	REVERSE_FR	SHUFFLE	 0.0736736	 0.0737233	 0.0733089	
100000	1	IDENT_____	SPIRAL	 2.9330665	 1.3984898	 1.3883095	
100000	1	IDENT_____	STAGGER	 0.3801092	 0.3782994	 0.3760386	
100000	1	IDENT_____	SAWTOTH	 0.1111118	 0.1090448	 0.6364281	
100000	1	IDENT_____	_RANDOM	 0.6524223	 0.6137134	 0.6298671	
100000	1	IDENT_____	PLATEAU	 0.0525801	 0.0529300	 0.0531279	
100000	1	IDENT_____	SHUFFLE	 4.0636407	 1.7409128	 1.7430807	
100000	1	REVERSE___	SPIRAL	 3.3933458	 1.3549368	 1.3475963	
100000	1	REVERSE___	STAGGER	 0.4281701	 0.4196895	 0.4150036	
100000	1	REVERSE___	SAWTOTH	 0.2558494	 0.1604852	 0.6347911	
100000	1	REVERSE___	_RANDOM	 0.6612790	 0.6079647	 0.6584640	
100000	1	REVERSE___	PLATEAU	 0.0575975	 0.0514177	 0.0516372	
100000	1	REVERSE___	SHUFFLE	 4.0962456	 1.7262321	 1.7160174	
100000	1	DITHER____	SPIRAL	 2.6473466	 1.2388202	 1.2457275	
100000	1	DITHER____	STAGGER	 4.2544124	 1.9439888	 1.9463158	
100000	1	DITHER____	SAWTOTH	 0.2766326	 0.2744391	 0.5645547	
100000	1	DITHER____	_RANDOM	 0.9126014	 0.9112750	 0.7606022	
100000	1	DITHER____	PLATEAU	 0.2986663	 0.2829619	 0.5474144	
100000	1	DITHER____	SHUFFLE	 4.0360979	 1.5566956	 1.5852651	
100000	1	REVERSE_BA	SPIRAL	 2.8486306	 1.3565814	 1.3579327	
100000	1	REVERSE_BA	STAGGER	 0.4908792	 0.5108616	 0.4661646	
100000	1	REVERSE_BA	SAWTOTH	 0.2615072	 0.1620877	 0.2575328	
100000	1	REVERSE_BA	_RANDOM	 0.6581986	 0.6073851	 0.6639231	
100000	1	REVERSE_BA	PLATEAU	 0.0531345	 0.0528300	 0.0528252	
100000	1	REVERSE_BA	SHUFFLE	 4.1734442	 1.5787839	 1.5789272	
100000	1	REVERSE_FR	SPIRAL	 2.7935608	 1.3323819	 1.3396091	
100000	1	REVERSE_FR	STAGGER	 0.5217294	 0.4582670	 0.4584353	
100000	1	REVERSE_FR	SAWTOTH	 0.1172205	 0.1129309	 0.1118673	
100000	1	REVERSE_FR	_RANDOM	 0.6586329	 0.5898860	 0.6267305	
100000	1	REVERSE_FR	PLATEAU	 0.0526881	 0.0520102	 0.0518646	
100000	1	REVERSE_FR	SHUFFLE	 4.2903838	 1.5515361	 1.5636171	
100000	16	IDENT_____	SPIRAL	 2.2145135	 0.9609349	 0.9633236	
100000	16	IDENT_____	STAGGER	 0.8101533	 0.7099918	 0.7099939	
100000	16	IDENT_____	SAWTOTH	 1.2179294	 0.5016795	 0.5034435	
100000	16	IDENT_____	_RANDOM	 2.0423084	! 1.0370956	 0.7321298	
100000	16	IDENT_____	PLATEAU	 0.0525099	 0.0527767	 0.0526752	
100000	16	IDENT_____	SHUFFLE	 1.5131940	 1.4837458	 1.4680053	
100000	16	REVERSE___	SPIRAL	 3.1206072	 0.9604818	 0.9618051	
100000	16	REVERSE___	STAGGER	 0.8176696	 0.8083631	 0.8092285	
100000	16	REVERSE___	SAWTOTH	 1.0875288	 0.5357889	 0.5361414	
100000	16	REVERSE___	_RANDOM	 1.9108450	! 0.8700664	 0.5264008	
100000	16	REVERSE___	PLATEAU	 0.0580497	 0.0518703	 0.0518600	
100000	16	REVERSE___	SHUFFLE	 1.9706848	 1.4648804	 1.4653810	
100000	16	DITHER____	SPIRAL	 2.4308793	 1.0876504	 1.0857103	
100000	16	DITHER____	STAGGER	 0.7119869	 0.7096222	 0.6699883	
100000	16	DITHER____	SAWTOTH	 1.5754963	 0.5339744	 0.5381776	
100000	16	DITHER____	_RANDOM	 1.9821273	! 1.1995936	 0.6650980	
100000	16	DITHER____	PLATEAU	 0.2854952	 0.2730060	 0.5420791	
100000	16	DITHER____	SHUFFLE	 1.9056142	 1.4214575	 1.4192345	
100000	16	REVERSE_BA	SPIRAL	 2.7327214	 0.9560731	 0.9577574	
100000	16	REVERSE_BA	STAGGER	 0.8428655	 0.7957071	 0.7956102	
100000	16	REVERSE_BA	SAWTOTH	 0.9789061	 0.5366648	 0.5396331	
100000	16	REVERSE_BA	_RANDOM	 1.9658326	! 1.0571886	 0.7703490	
100000	16	REVERSE_BA	PLATEAU	 0.0527984	 0.0526533	 0.0528321	
100000	16	REVERSE_BA	SHUFFLE	 1.9633160	 1.4077390	 1.4075009	
100000	16	REVERSE_FR	SPIRAL	 2.1646369	 0.9527835	 0.9553953	
100000	16	REVERSE_FR	STAGGER	 0.8106485	 0.7790005	 0.7780118	
100000	16	REVERSE_FR	SAWTOTH	 1.0520605	 0.5419750	 0.5348330	
100000	16	REVERSE_FR	_RANDOM	 1.9931798	! 0.8587407	! 0.7276044	
100000	16	REVERSE_FR	PLATEAU	 0.0530456	 0.0518959	 0.0518203	
100000	16	REVERSE_FR	SHUFFLE	 1.5057956	 1.4027752	 1.4062652	
100000	256	IDENT_____	SPIRAL	 1.2767186	 1.2677430	 1.2774735	
100000	256	IDENT_____	STAGGER	 1.3381400	 1.3515075	 1.3484273	
100000	256	IDENT_____	SAWTOTH	 1.4625749	 1.4691470	 1.4687564	
100000	256	IDENT_____	_RANDOM	 3.6985383	 0.7460295	 0.7570903	
100000	256	IDENT_____	PLATEAU	 0.0527131	 0.0528538	 0.0528187	
100000	256	IDENT_____	SHUFFLE	 0.7567920	 1.1003560	 1.0954368	
100000	256	REVERSE___	SPIRAL	 2.0214891	 1.3280656	 1.3260963	
100000	256	REVERSE___	STAGGER	 1.4052093	 1.4044604	 1.4034594	
100000	256	REVERSE___	SAWTOTH	 1.5399662	 1.4985204	 1.4992220	
100000	256	REVERSE___	_RANDOM	 3.6436351	 0.6460157	 0.5580794	
100000	256	REVERSE___	PLATEAU	 0.0529752	 0.0524010	 0.0518215	
100000	256	REVERSE___	SHUFFLE	 1.0722994	 1.1144351	 1.0375738	
100000	256	DITHER____	SPIRAL	 2.0693789	 1.0819812	 1.0785866	
100000	256	DITHER____	STAGGER	 1.6878509	 1.6990249	 1.6919157	
100000	256	DITHER____	SAWTOTH	 2.6828373	 0.8492739	 0.8527711	
100000	256	DITHER____	_RANDOM	 3.6528974	 0.8535213	 0.8539839	
100000	256	DITHER____	PLATEAU	 0.3219269	 0.3133260	 0.8007240	
100000	256	DITHER____	SHUFFLE	 1.3100348	 1.3798218	 1.3710447	
100000	256	REVERSE_BA	SPIRAL	 1.3035271	 1.3149566	 1.3146019	
100000	256	REVERSE_BA	STAGGER	 1.3869323	 1.4092799	 1.4088359	
100000	256	REVERSE_BA	SAWTOTH	 1.4954400	 1.4679720	 1.4685909	
100000	256	REVERSE_BA	_RANDOM	 3.6385836	 0.8724605	 0.7503970	
100000	256	REVERSE_BA	PLATEAU	 0.0528445	 0.0528063	 0.0529578	
100000	256	REVERSE_BA	SHUFFLE	 0.9605843	 1.1238430	 1.1240733	
100000	256	REVERSE_FR	SPIRAL	 2.3792979	 0.9393963	 0.9399834	
100000	256	REVERSE_FR	STAGGER	 1.3940265	 1.4019844	 1.4022259	
100000	256	REVERSE_FR	SAWTOTH	 1.4752561	 1.4711854	 1.4721953	
100000	256	REVERSE_FR	_RANDOM	 3.6651016	 0.7002474	 0.6006630	
100000	256	REVERSE_FR	PLATEAU	 0.0525856	 0.0582992	 0.0584973	
100000	256	REVERSE_FR	SHUFFLE	 1.0118691	 1.1333343	 1.1370730	
1000000	1	IDENT_____	SPIRAL	 29.4901980	 13.4378076	 13.4943796	
1000000	1	IDENT_____	STAGGER	 3.9813566	 3.9872989	 3.9757387	
1000000	1	IDENT_____	SAWTOTH	 1.2182549	 1.1940349	 6.2039983	
1000000	1	IDENT_____	_RANDOM	 6.6307146	 6.1500244	 6.3560815	
1000000	1	IDENT_____	PLATEAU	 0.6531331	 0.6800506	 0.6862412	
1000000	1	IDENT_____	SHUFFLE	 47.5483168	 29.6908965	 29.7111997	
1000000	1	REVERSE___	SPIRAL	 31.5134657	 13.4130817	 13.5057830	
1000000	1	REVERSE___	STAGGER	 4.3819745	 4.6047533	 4.5989385	
1000000	1	REVERSE___	SAWTOTH	 2.6411207	 1.6940421	 6.2102238	
1000000	1	REVERSE___	_RANDOM	 6.7351599	 6.0997463	 6.1879754	
1000000	1	REVERSE___	PLATEAU	 0.6997870	 0.6366139	 0.6423554	
1000000	1	REVERSE___	SHUFFLE	 46.9082175	 29.6965481	 29.6072486	
1000000	1	DITHER____	SPIRAL	 23.1635179	 11.8813512	 11.8731000	
1000000	1	DITHER____	STAGGER	 41.5921124	 28.7556544	 28.5925272	
1000000	1	DITHER____	SAWTOTH	 3.1695698	 2.9136663	 5.5706780	
1000000	1	DITHER____	_RANDOM	 8.7368150	 8.8319580	 6.1080881	
1000000	1	DITHER____	PLATEAU	 2.5677675	 2.5831398	 5.4237358	
1000000	1	DITHER____	SHUFFLE	 44.8039381	 22.7651254	 22.8255427	
1000000	1	REVERSE_BA	SPIRAL	 26.3948930	 13.3649279	 13.4160071	
1000000	1	REVERSE_BA	STAGGER	 4.9778905	 5.0205255	 5.0214822	
1000000	1	REVERSE_BA	SAWTOTH	 2.5949114	 1.6917935	 1.8039290	
1000000	1	REVERSE_BA	_RANDOM	 6.6500109	 6.0287513	 6.4571217	
1000000	1	REVERSE_BA	PLATEAU	 0.6574627	 0.6815015	 0.6857438	
1000000	1	REVERSE_BA	SHUFFLE	 44.1811810	 28.7420604	 28.7166907	
1000000	1	REVERSE_FR	SPIRAL	 26.5405436	 13.4785600	 13.5058956	
1000000	1	REVERSE_FR	STAGGER	 4.9582548	 4.5223990	 4.5239136	
1000000	1	REVERSE_FR	SAWTOTH	 1.2832101	 1.2300026	 1.2215118	
1000000	1	REVERSE_FR	_RANDOM	 6.5896856	 6.1469726	 6.2657179	
1000000	1	REVERSE_FR	PLATEAU	 0.6489276	 0.6415729	 0.6531547	
1000000	1	REVERSE_FR	SHUFFLE	 47.2780785	 29.4065231	 29.4464781	
1000000	16	IDENT_____	SPIRAL	 22.0896887	 11.5138444	 11.4941454	
1000000	16	IDENT_____	STAGGER	 7.1366519	 7.1341310	 7.1360067	
1000000	16	IDENT_____	SAWTOTH	 11.7105527	 5.3222654	 5.3433062	
1000000	16	IDENT_____	_RANDOM	 18.7119117	! 10.4026956	! 8.1599009	
1000000	16	IDENT_____	PLATEAU	 0.6623956	 0.6830664	 0.6823334	
1000000	16	IDENT_____	SHUFFLE	 15.8350046	 25.4062349	 25.3078583	
1000000	16	REVERSE___	SPIRAL	 35.1006679	 11.5192144	 11.5037961	
1000000	16	REVERSE___	STAGGER	 7.6848160	 7.7593645	 7.7554720	
1000000	16	REVERSE___	SAWTOTH	 11.1010076	 5.3192165	 5.3209292	
1000000	16	REVERSE___	_RANDOM	 19.5597918	! 10.3363549	! 7.3071891	
1000000	16	REVERSE___	PLATEAU	 0.7013847	 0.6438845	 0.6421033	
1000000	16	REVERSE___	SHUFFLE	 19.6205206	 25.2835219	 25.3350789	
1000000	16	DITHER____	SPIRAL	 28.6962673	 11.3456431	 11.3429603	
1000000	16	DITHER____	STAGGER	 7.1204020	 7.1268927	 7.1154801	
1000000	16	DITHER____	SAWTOTH	 13.2945720	 5.3221340	 5.3362537	
1000000	16	DITHER____	_RANDOM	 19.6704338	! 11.0433351	 5.5599392	
1000000	16	DITHER____	PLATEAU	 2.9110172	 2.7869754	 5.3333354	
1000000	16	DITHER____	SHUFFLE	 19.7358199	 22.4646120	 22.5928464	
1000000	16	REVERSE_BA	SPIRAL	 33.4333246	 11.5323011	 11.5879595	
1000000	16	REVERSE_BA	STAGGER	 7.3853045	 7.3934165	 7.3952399	
1000000	16	REVERSE_BA	SAWTOTH	 6.2429848	 5.3289185	 5.3294022	
1000000	16	REVERSE_BA	_RANDOM	 18.7768087	! 9.7684827	 6.2738534	
1000000	16	REVERSE_BA	PLATEAU	 0.6582568	 0.6863166	 0.6856855	
1000000	16	REVERSE_BA	SHUFFLE	 19.8544629	 25.0342996	 24.9891140	
