Parsing sort-1k-1M.log ...
Timings are given in milli-seconds (min time + 1 stddev)
COLUMNS:Length	Sub-size	Builder	Tweaker	SYSTEM	NEW_DPQS_REF	RADIX	
10000	256	REVERSE_FR	_RANDOM	 0.4039096	 0.0694731	 0.1038766	
10000	256	REVERSE_FR	PLATEAU	 0.0048436	 0.0055162	 0.0304393	
10000	256	REVERSE_FR	SHUFFLE	 0.0729881	 0.0723773	 0.1841160	
100000	1	IDENT_____	SPIRAL	 2.0959128	 1.4544552	 1.8856876	
100000	1	IDENT_____	STAGGER	 0.2776123	 0.3387044	 0.2862440	
100000	1	IDENT_____	SAWTOTH	 0.0621240	 0.0515995	 0.0530125	
100000	1	IDENT_____	_RANDOM	 0.0621091	 0.0516994	 0.0529085	
100000	1	IDENT_____	PLATEAU	 0.0535859	 0.0536788	 0.0497780	
100000	1	IDENT_____	SHUFFLE	 0.0537663	 0.0536419	 0.0498912	
100000	1	REVERSE___	SPIRAL	 3.1271025	 1.4561299	 1.9327558	
100000	1	REVERSE___	STAGGER	 0.3522400	 0.3170525	 0.3608049	
100000	1	REVERSE___	SAWTOTH	 0.0620588	 0.0516184	 0.0528794	
100000	1	REVERSE___	_RANDOM	 0.0623312	 0.0516223	 0.0528794	
100000	1	REVERSE___	PLATEAU	 0.0637643	 0.0529694	 0.1196411	
100000	1	REVERSE___	SHUFFLE	 0.1161072	 0.1255000	 0.1118363	
100000	1	DITHER____	SPIRAL	 2.3084485	 1.3345873	 1.8631082	
100000	1	DITHER____	STAGGER	 4.2000550	 1.7413430	 1.7873446	
100000	1	DITHER____	SAWTOTH	 0.2875946	 0.2880606	 0.9990502	
100000	1	DITHER____	_RANDOM	 0.2875597	 0.2868619	 0.9981508	
100000	1	DITHER____	PLATEAU	 0.2879485	 0.2896061	 0.9987429	
100000	1	DITHER____	SHUFFLE	 0.6036254	 1.3812376	 1.4524443	
100000	1	REVERSE_BA	SPIRAL	 2.3575545	 1.3834455	 1.8562955	
100000	1	REVERSE_BA	STAGGER	 0.2863247	 0.2928691	 0.3411771	
100000	1	REVERSE_BA	SAWTOTH	 0.0620326	 0.0516083	 0.0528710	
100000	1	REVERSE_BA	_RANDOM	 0.0622984	 0.0514844	 0.0529022	
100000	1	REVERSE_BA	PLATEAU	 0.0536333	 0.0536149	 0.0497088	
100000	1	REVERSE_BA	SHUFFLE	 0.2911702	 0.2973893	 0.3540181	
100000	1	REVERSE_FR	SPIRAL	 2.5908596	 1.3761560	 1.9619336	
100000	1	REVERSE_FR	STAGGER	 0.3209704	 0.2975809	 0.3343314	
100000	1	REVERSE_FR	SAWTOTH	 0.0623071	 0.0517929	 0.0529464	
100000	1	REVERSE_FR	_RANDOM	 0.0623044	 0.0516988	 0.0529210	
100000	1	REVERSE_FR	PLATEAU	 0.0534075	 0.0529339	 0.3492707	
100000	1	REVERSE_FR	SHUFFLE	 0.0966607	 0.0958457	 0.0884834	
100000	16	IDENT_____	SPIRAL	 2.2216425	 0.9696033	 1.8375108	
100000	16	IDENT_____	STAGGER	 0.7109655	 0.7097441	 1.7186796	
100000	16	IDENT_____	SAWTOTH	 1.2182824	 0.5363918	 1.0427350	
100000	16	IDENT_____	_RANDOM	 2.0448929	! 1.0388949	 0.9947164	
100000	16	IDENT_____	PLATEAU	 0.0537434	 0.0536443	 0.0498762	
100000	16	IDENT_____	SHUFFLE	 1.5111764	 1.4613759	 2.1217571	
100000	16	REVERSE___	SPIRAL	 3.1160692	 0.9682488	 1.8138427	
100000	16	REVERSE___	STAGGER	 0.8195785	 0.8081927	 1.7979446	
100000	16	REVERSE___	SAWTOTH	 1.0893079	 0.5431059	 1.0427191	
100000	16	REVERSE___	_RANDOM	 1.9137223	! 0.8849033	 0.9993847	
100000	16	REVERSE___	PLATEAU	 0.0587013	 0.0525992	 0.1268644	
100000	16	REVERSE___	SHUFFLE	 1.9672424	 1.4625863	 1.9500165	
100000	16	DITHER____	SPIRAL	 2.4272871	 1.0909926	 1.7497137	
100000	16	DITHER____	STAGGER	 0.7111072	 0.6691452	 1.7171918	
100000	16	DITHER____	SAWTOTH	 1.5819103	 0.5335462	 0.9979664	
100000	16	DITHER____	_RANDOM	 1.9860873	! 1.1963734	 0.9990682	
100000	16	DITHER____	PLATEAU	 0.2872414	 0.2798267	 0.9990997	
100000	16	DITHER____	SHUFFLE	 1.9057057	 1.4185214	 2.2157349	
100000	16	REVERSE_BA	SPIRAL	 2.7320945	 0.9593419	 1.8724509	
100000	16	REVERSE_BA	STAGGER	 0.8433088	 0.7956090	 1.7624468	
100000	16	REVERSE_BA	SAWTOTH	 0.9774539	 0.5345003	 1.0438156	
100000	16	REVERSE_BA	_RANDOM	 1.9635158	! 1.1013220	 0.9968827	
100000	16	REVERSE_BA	PLATEAU	 0.0538671	 0.0538244	 0.0496794	
100000	16	REVERSE_BA	SHUFFLE	 1.9632382	 1.4007537	 2.0287650	
100000	16	REVERSE_FR	SPIRAL	 2.1491278	 0.9614692	 1.8190143	
100000	16	REVERSE_FR	STAGGER	 0.8114063	 0.7778447	 1.7476829	
100000	16	REVERSE_FR	SAWTOTH	 1.0498388	 0.5383474	 1.0428176	
100000	16	REVERSE_FR	_RANDOM	 1.9926152	! 0.8601660	 0.9992062	
100000	16	REVERSE_FR	PLATEAU	 0.0535108	 0.0526260	 0.3489869	
100000	16	REVERSE_FR	SHUFFLE	 1.5078675	 1.4007289	 2.0142876	
100000	256	IDENT_____	SPIRAL	 1.2680092	 1.2678980	 1.8360330	
100000	256	IDENT_____	STAGGER	 1.3391079	 1.3543844	 1.8695671	
100000	256	IDENT_____	SAWTOTH	 1.4636018	 1.4681824	 0.9828242	
100000	256	IDENT_____	_RANDOM	 3.6981597	 0.7583586	 0.9987154	
100000	256	IDENT_____	PLATEAU	 0.0536151	 0.0538798	 0.0499085	
100000	256	IDENT_____	SHUFFLE	 0.7569459	 1.0920213	 2.0812584	
100000	256	REVERSE___	SPIRAL	 2.0237146	 1.3266357	 1.9361735	
100000	256	REVERSE___	STAGGER	 1.4060187	 1.4058670	 1.8756912	
100000	256	REVERSE___	SAWTOTH	 1.5396958	 1.4979758	 0.9874284	
100000	256	REVERSE___	_RANDOM	 3.6466672	 0.5896297	 0.9989049	
100000	256	REVERSE___	PLATEAU	 0.0535686	 0.0530308	 0.1278049	
100000	256	REVERSE___	SHUFFLE	 1.0698949	 1.0764828	 1.9396662	
100000	256	DITHER____	SPIRAL	 2.1020854	 1.0831304	 1.9046219	
100000	256	DITHER____	STAGGER	 1.6863681	 1.7012830	 1.8711009	
100000	256	DITHER____	SAWTOTH	 2.6875807	 0.8546300	 1.0163647	
100000	256	DITHER____	_RANDOM	 3.6629084	 0.8531942	 1.0163733	
100000	256	DITHER____	PLATEAU	 0.3225459	 0.3145033	 1.0998882	
100000	256	DITHER____	SHUFFLE	 1.3147884	 1.3785991	 2.1127161	
100000	256	REVERSE_BA	SPIRAL	 1.3045566	 1.3147164	 1.8604748	
100000	256	REVERSE_BA	STAGGER	 1.3870572	 1.4103009	 1.8385857	
100000	256	REVERSE_BA	SAWTOTH	 1.4960413	 1.4701061	 0.9825157	
100000	256	REVERSE_BA	_RANDOM	 3.6377144	 0.8712487	 0.9983909	
100000	256	REVERSE_BA	PLATEAU	 0.0534011	 0.0531309	 0.0494566	
100000	256	REVERSE_BA	SHUFFLE	 0.9648805	 1.1252881	 2.0474972	
100000	256	REVERSE_FR	SPIRAL	 2.3817764	 0.9501584	 1.8926971	
100000	256	REVERSE_FR	STAGGER	 1.3938644	 1.4024655	 1.8681965	
100000	256	REVERSE_FR	SAWTOTH	 1.4777413	 1.4729254	 0.9909069	
100000	256	REVERSE_FR	_RANDOM	 3.6641826	 0.7152203	 0.9984241	
100000	256	REVERSE_FR	PLATEAU	 0.0529740	 0.0590851	 0.3475677	
100000	256	REVERSE_FR	SHUFFLE	 1.0106482	 1.1304368	 2.0061905	
1000000	1	IDENT_____	SPIRAL	 22.9397012	 28.1568009	 30.2693700	
1000000	1	IDENT_____	STAGGER	 3.0603856	 3.0684986	 3.3208582	
1000000	1	IDENT_____	SAWTOTH	 0.6251184	 0.6277314	 0.6413421	
1000000	1	IDENT_____	_RANDOM	 0.6320510	 0.6212787	 0.6404592	
1000000	1	IDENT_____	PLATEAU	 0.6733520	 0.7011494	 0.6523359	
1000000	1	IDENT_____	SHUFFLE	 0.6658773	 0.7008518	 0.6242470	
1000000	1	REVERSE___	SPIRAL	 25.7198887	 28.3330167	 31.3589630	
1000000	1	REVERSE___	STAGGER	 3.8396492	 3.8897649	 4.7338976	
1000000	1	REVERSE___	SAWTOTH	 0.6599822	 0.6285702	 0.6424777	
1000000	1	REVERSE___	_RANDOM	 0.6208736	 0.6241014	 0.6409477	
1000000	1	REVERSE___	PLATEAU	 0.7079126	 0.7064266	 1.3558921	
