Test[PLATEAU | DITHER____] stats        : [1000000: µ=257.9671039999989 σ=2.7613702175460193 (1.0704350185464075 %) rms=260.72847421754494 min=0.0 max=260.0 sum=2.5796710399999893E8]
Test[PLATEAU | DITHER____] statsDelta   : [999999: µ=2.600002600002548E-4 σ=2.000062482248923 (769254.0316101848 %) rms=2.000322482508923 min=-4.0 max=2.0 sum=259.9999999999948]
Test[PLATEAU | DITHER____] statsAbsDelta: [999999: µ=1.6001516001515483 σ=1.1999009528048492 (74.98670455294412 %) rms=2.8000525529563975 min=1.0 max=4.0 sum=1600149.999999948]
Test[SHUFFLE | IDENT_____] stats        : [1000000: µ=992229.4395030104 σ=577298.2432695802 (58.181930538035466 %) rms=1569527.6827725905 min=2.0 max=1992198.0 sum=9.922294395030104E11]
Test[SHUFFLE | IDENT_____] statsDelta   : [999999: µ=1.9921979921980344 σ=101075.66171092528 (5073575.121888681 %) rms=101077.65390891748 min=-1984031.0 max=1984033.0 sum=1992196.0000000421]
Test[SHUFFLE | IDENT_____] statsAbsDelta: [999999: µ=7704.824292824262 σ=100781.57082285799 (1308.0320458017316 %) rms=108486.39511568224 min=2.0 max=1984033.0 sum=7.704816587999969E9]
Test[SHUFFLE | REVERSE___] stats        : [1000000: µ=992229.4395029795 σ=577298.2432695526 (58.1819305380345 %) rms=1569527.682772532 min=2.0 max=1992198.0 sum=9.922294395029795E11]
Test[SHUFFLE | REVERSE___] statsDelta   : [999999: µ=-1.992197992198019 σ=101075.66171092649 (-5073575.121888781 %) rms=101073.6695129343 min=-1984033.0 max=1984031.0 sum=-1992196.0000000268]
Test[SHUFFLE | REVERSE___] statsAbsDelta: [999999: µ=7704.824292824237 σ=100781.5708228572 (1308.0320458017256 %) rms=108486.39511568144 min=2.0 max=1984033.0 sum=7.704816587999945E9]
Test[SHUFFLE | REVERSE_FR] stats        : [1000000: µ=992229.4395030161 σ=577298.24326958 (58.18193053803511 %) rms=1569527.682772596 min=2.0 max=1992198.0 sum=9.922294395030161E11]
Test[SHUFFLE | REVERSE_FR] statsDelta   : [999999: µ=0.9960629960630157 σ=101080.5702507566 (1.0148009779530227E7 %) rms=101081.56631375267 min=-1984031.0 max=1984033.0 sum=996062.0000000197]
Test[SHUFFLE | REVERSE_FR] statsAbsDelta: [999999: µ=7705.820427820346 σ=100786.41751416681 (1307.9258523894136 %) rms=108492.23794198716 min=2.0 max=1984033.0 sum=7.705812721999918E9]
Test[SHUFFLE | REVERSE_BA] stats        : [1000000: µ=992229.4395030013 σ=577298.2432695808 (58.18193053803606 %) rms=1569527.682772582 min=2.0 max=1992198.0 sum=9.922294395030013E11]
Test[SHUFFLE | REVERSE_BA] statsDelta   : [999999: µ=0.9961369961369633 σ=101080.56952150798 (1.0147255840662498E7 %) rms=101081.56565850411 min=-1984033.0 max=1984031.0 sum=996135.9999999672]
Test[SHUFFLE | REVERSE_BA] statsAbsDelta: [999999: µ=7705.820353820382 σ=100786.41678846147 (1307.9258555319643 %) rms=108492.23714228185 min=2.0 max=1984033.0 sum=7.705812648000028E9]
Test[SHUFFLE | SORT______] stats        : [1000000: µ=992229.4395030118 σ=577298.243269576 (58.18193053803497 %) rms=1569527.6827725878 min=2.0 max=1992198.0 sum=9.922294395030117E11]
Test[SHUFFLE | SORT______] statsDelta   : [999999: µ=1.9921979921979562 σ=0.08798377246639275 (4.416417083591266 %) rms=2.080181764664349 min=1.0 max=2.0 sum=1992195.9999999641]
Test[SHUFFLE | SORT______] statsAbsDelta: [999999: µ=1.9921979921979562 σ=0.08798377246639275 (4.416417083591266 %) rms=2.080181764664349 min=1.0 max=2.0 sum=1992195.9999999641]
Test[SHUFFLE | DITHER____] stats        : [1000000: µ=992231.4395029993 σ=577298.2433738771 (58.181813273629096 %) rms=1569529.6828768766 min=2.0 max=1992202.0 sum=9.922314395029993E11]
Test[SHUFFLE | DITHER____] statsDelta   : [999999: µ=1.9922019922020444 σ=101075.66193891516 (5073564.946453698 %) rms=101077.65414090737 min=-1984030.0 max=1984034.0 sum=1992200.0000000522]
Test[SHUFFLE | DITHER____] statsAbsDelta: [999999: µ=7705.618175618195 σ=100781.51035523495 (1307.8964991299947 %) rms=108487.12853085314 min=2.0 max=1984034.0 sum=7.705610470000019E9]

