Test[PLATEAU | DITHER____] stats        : [1000000: µ=500001.4999995588 σ=288675.27894291206 (57.73488258398561 %) rms=788676.7789424709 min=0.0 max=1000003.0 sum=5.000014999995588E11]
Test[PLATEAU | DITHER____] statsDelta   : [999999: µ=1.0000040000039763 σ=1.9999979999910056 (199.9990000023053 %) rms=3.000001999994982 min=-3.0 max=2.0 sum=1000002.9999999763]
Test[PLATEAU | DITHER____] statsAbsDelta: [999999: µ=2.1999991999990476 σ=0.3999995999982017 (18.18180661149217 %) rms=2.599998799997249 min=2.0 max=3.0 sum=2199996.9999998477]
Test[SHUFFLE | IDENT_____] stats        : [1000000: µ=999997.00001747 σ=577350.5578444531 (57.73522898912365 %) rms=1577347.5578619232 min=2.0 max=1999996.0 sum=9.9999700001747E11]
Test[SHUFFLE | IDENT_____] statsDelta   : [999999: µ=1.9999959999959915 σ=2228.7328032260434 (111436.86303525159 %) rms=2230.7327992260393 min=-1284289.0 max=1284291.0 sum=1999993.9999999916]
Test[SHUFFLE | IDENT_____] statsAbsDelta: [999999: µ=6.395288395288185 σ=2228.724525016322 (34849.4764780016 %) rms=2235.1198134116103 min=2.0 max=1284291.0 sum=6395281.9999997895]
Test[SHUFFLE | REVERSE___] stats        : [1000000: µ=999997.0000099954 σ=577350.5578473692 (57.7352289898468 %) rms=1577347.5578573646 min=2.0 max=1999996.0 sum=9.999970000099954E11]
Test[SHUFFLE | REVERSE___] statsDelta   : [999999: µ=-1.9999959999959915 σ=2228.7328032260434 (-111436.86303525159 %) rms=2226.7328072260475 min=-1284291.0 max=1284289.0 sum=-1999993.9999999916]
Test[SHUFFLE | REVERSE___] statsAbsDelta: [999999: µ=6.395288395288277 σ=2228.724525016312 (34849.47647800094 %) rms=2235.1198134116003 min=2.0 max=1284291.0 sum=6395281.999999882]
Test[SHUFFLE | REVERSE_FR] stats        : [1000000: µ=999997.0000168898 σ=577350.557844874 (57.73522898919923 %) rms=1577347.5578617638 min=2.0 max=1999996.0 sum=9.999970000168898E11]
Test[SHUFFLE | REVERSE_FR] statsDelta   : [999999: µ=0.9999989999989827 σ=2442.7957156014536 (244279.81584020972 %) rms=2443.795714601453 min=-1284289.0 max=1284291.0 sum=999997.9999999827]
Test[SHUFFLE | REVERSE_FR] statsAbsDelta: [999999: µ=7.395285395285152 σ=2442.7847260573426 (33031.64915872935 %) rms=2450.1800114526277 min=2.0 max=1284291.0 sum=7395277.999999756]
Test[SHUFFLE | REVERSE_BA] stats        : [1000000: µ=999997.0000102568 σ=577350.5578470742 (57.735228989802216 %) rms=1577347.557857331 min=2.0 max=1999996.0 sum=9.999970000102567E11]
Test[SHUFFLE | REVERSE_BA] statsDelta   : [999999: µ=0.9999989999990402 σ=2442.7957156014554 (244279.81584019584 %) rms=2443.7957146014546 min=-1284291.0 max=1284289.0 sum=999998.0000000402]
Test[SHUFFLE | REVERSE_BA] statsAbsDelta: [999999: µ=7.395285395285567 σ=2442.784726057344 (33031.649158727516 %) rms=2450.1800114526295 min=2.0 max=1284291.0 sum=7395278.000000172]
Test[SHUFFLE | SORT______] stats        : [1000000: µ=999997.0000185547 σ=577350.5578438715 (57.73522898900286 %) rms=1577347.5578624262 min=2.0 max=1999996.0 sum=9.999970000185547E11]
Test[SHUFFLE | SORT______] statsDelta   : [999999: µ=1.9999959999959933 σ=0.0019999979999910074 (0.10000009999995071 %) rms=2.0019959979959845 min=1.0 max=2.0 sum=1999993.9999999932]
Test[SHUFFLE | SORT______] statsAbsDelta: [999999: µ=1.9999959999959933 σ=0.0019999979999910074 (0.10000009999995071 %) rms=2.0019959979959845 min=1.0 max=2.0 sum=1999993.9999999932]
Test[SHUFFLE | DITHER____] stats        : [1000000: µ=999999.0000104861 σ=577350.5578506517 (57.73511351957327 %) rms=1577349.5578611377 min=2.0 max=2000000.0 sum=9.999990000104861E11]
Test[SHUFFLE | DITHER____] statsDelta   : [999999: µ=2.000000000000177 σ=2228.73165154344 (111436.58257716213 %) rms=2230.73165154344 min=-1284288.0 max=1284292.0 sum=1999998.0000001772]
Test[SHUFFLE | DITHER____] statsAbsDelta: [999999: µ=7.19528119528117 σ=2228.720934184513 (30974.757951727574 %) rms=2235.9162153797943 min=2.0 max=1284292.0 sum=7195273.999999975]

