Parsing sort-1k-1M.log ...
Timings are given in milli-seconds (min time + 1 stddev)
COLUMNS:Length	Sub-size	Builder	Tweaker	SYSTEM	DPQ_11	DPQS_2105_REF	DPQS_2105_NEW	
10000	256	REVERSE___	STAGGER	 0.5205400	 0.5382376	 0.1293929	 0.1292243	
10000	256	REVERSE___	SAWTOTH	 0.1159584	 0.1327276	 0.1078281	 0.1082014	
10000	256	REVERSE___	_RANDOM	 0.4160340	 0.4600709	 0.0689305	 0.0689888	
10000	256	REVERSE___	PLATEAU	 0.0047501	 0.0132788	 0.0046371	 0.0046447	
10000	256	REVERSE___	SHUFFLE	 0.0770245	 0.0990071	 0.0775837	 0.0778627	
10000	256	DITHER____	SPIRAL	 0.2107384	 0.2418921	 0.0897603	 0.0924686	
10000	256	DITHER____	STAGGER	 0.5253320	 0.5442179	 0.1134877	 0.1138878	
10000	256	DITHER____	SAWTOTH	 0.3366550	 0.3082386	 0.0913695	 0.0919501	
10000	256	DITHER____	_RANDOM	 0.4276539	 0.4762946	! 0.1473843	 0.0939914	
10000	256	DITHER____	PLATEAU	 0.0293777	 0.0421814	 0.0297109	 0.0290265	
10000	256	DITHER____	SHUFFLE	 0.0847762	 0.1915810	 0.1200852	 0.1202668	
10000	256	REVERSE_BA	SPIRAL	 0.0915375	 0.1285090	 0.0996662	 0.0983148	
10000	256	REVERSE_BA	STAGGER	 0.5302487	 0.5490400	 0.1147051	 0.1144317	
10000	256	REVERSE_BA	SAWTOTH	 0.1102129	 0.1450912	 0.1093333	 0.1093443	
10000	256	REVERSE_BA	_RANDOM	 0.4130251	 0.4603472	 0.0805552	 0.0804471	
10000	256	REVERSE_BA	PLATEAU	 0.0044485	 0.0044359	 0.0044287	 0.0044545	
10000	256	REVERSE_BA	SHUFFLE	 0.0847088	 0.1118311	! 0.0926668	! 0.0933167	
10000	256	REVERSE_FR	SPIRAL	 0.1985060	 0.1333110	 0.0993698	 0.0993178	
10000	256	REVERSE_FR	STAGGER	 0.5273021	 0.5453900	 0.1135538	 0.1129187	
10000	256	REVERSE_FR	SAWTOTH	 0.0956355	 0.1300376	 0.0992886	 0.1102173	
10000	256	REVERSE_FR	_RANDOM	 0.4024342	 0.4669535	 0.0689057	 0.0688822	
10000	256	REVERSE_FR	PLATEAU	 0.0047945	 0.0286570	 0.0055025	 0.0055089	
10000	256	REVERSE_FR	SHUFFLE	 0.0734539	 0.1117793	 0.0733728	 0.0731486	
100000	1	IDENT_____	SPIRAL	 2.9361614	 3.2056999	 1.3659456	 1.3403642	
100000	1	IDENT_____	STAGGER	 0.3528433	 0.3933973	 0.3465052	 0.3756878	
100000	1	IDENT_____	SAWTOTH	 0.1111979	 0.1223948	 0.1087493	 0.1040808	
100000	1	IDENT_____	_RANDOM	 0.6575712	 0.6368010	 0.6109564	 0.6089723	
100000	1	IDENT_____	PLATEAU	 0.0527808	 0.0647523	 0.0530834	 0.0527535	
100000	1	IDENT_____	SHUFFLE	 4.0775846	 4.2719980	 1.6022138	 1.5679909	
100000	1	REVERSE___	SPIRAL	 3.3925880	 3.1294195	 1.3352426	 1.3187190	
100000	1	REVERSE___	STAGGER	 0.4257755	 0.4757121	 0.4150070	 0.4160044	
100000	1	REVERSE___	SAWTOTH	 0.2557504	 0.1744440	 0.1614291	 0.1764281	
100000	1	REVERSE___	_RANDOM	 0.6620852	 0.6245190	 0.6091922	 0.6082869	
100000	1	REVERSE___	PLATEAU	 0.0580584	 0.1312083	 0.0515597	 0.0518675	
100000	1	REVERSE___	SHUFFLE	 4.0893582	 4.4059351	 1.5966514	 1.5643516	
100000	1	DITHER____	SPIRAL	 2.6424852	 3.1798277	 1.2329570	 1.1694385	
100000	1	DITHER____	STAGGER	 4.2368756	 4.2054908	 1.8915966	 1.8545724	
100000	1	DITHER____	SAWTOTH	 0.2776144	 0.3497460	 0.2748873	 0.2996819	
100000	1	DITHER____	_RANDOM	 0.9108422	 0.9359750	 0.9121518	 0.6831863	
100000	1	DITHER____	PLATEAU	 0.2979091	 0.3775055	 0.2846371	 0.2740569	
100000	1	DITHER____	SHUFFLE	 4.0390033	 4.4836635	 1.5363224	 1.4857612	
100000	1	REVERSE_BA	SPIRAL	 2.8453408	 3.3587965	 1.3422499	 1.3138417	
100000	1	REVERSE_BA	STAGGER	 0.4929067	 0.4919623	 0.5013242	 0.5022797	
100000	1	REVERSE_BA	SAWTOTH	 0.2618670	 0.1161035	 0.1635289	 0.1762466	
100000	1	REVERSE_BA	_RANDOM	 0.6579754	 0.6338388	 0.6085732	 0.6071128	
100000	1	REVERSE_BA	PLATEAU	 0.0532107	 0.0650043	 0.0530297	 0.0531066	
100000	1	REVERSE_BA	SHUFFLE	 4.1796956	 4.4400375	 1.5159097	 1.4836826	
100000	1	REVERSE_FR	SPIRAL	 2.8034221	 3.3737546	 1.3035114	 1.2819495	
100000	1	REVERSE_FR	STAGGER	 0.5203354	 0.5439386	 0.4586827	 0.4572122	
100000	1	REVERSE_FR	SAWTOTH	 0.1178846	 0.2001950	 0.1133849	 0.1086969	
100000	1	REVERSE_FR	_RANDOM	 0.6551685	 0.6341024	 0.5883238	 0.5894597	
100000	1	REVERSE_FR	PLATEAU	 0.0526706	 0.2992115	 0.0521349	 0.0520081	
100000	1	REVERSE_FR	SHUFFLE	 4.2856202	 4.5368473	 1.5077013	 1.4825389	
100000	16	IDENT_____	SPIRAL	 2.2128144	 3.2106442	 0.9575994	 0.9436696	
100000	16	IDENT_____	STAGGER	 0.7101270	 1.0751642	 0.7085840	 0.7085953	
100000	16	IDENT_____	SAWTOTH	 1.2189400	 1.4430566	 0.5003057	 0.4994401	
100000	16	IDENT_____	_RANDOM	 2.0354137	 2.0175938	! 1.0371348	 0.8259690	
100000	16	IDENT_____	PLATEAU	 0.0527956	 0.0650591	 0.0527899	 0.0528697	
100000	16	IDENT_____	SHUFFLE	 1.5158823	 2.8022036	 1.4546138	 1.4400976	
100000	16	REVERSE___	SPIRAL	 3.1190520	 2.8128166	 0.9620866	 0.9378929	
100000	16	REVERSE___	STAGGER	 0.8162963	 1.0866635	 0.8074993	 0.8077569	
100000	16	REVERSE___	SAWTOTH	 1.0896056	 1.5127535	 0.5472018	 0.6546475	
100000	16	REVERSE___	_RANDOM	 1.9093125	 1.9686224	! 0.8544241	! 0.7787004	
100000	16	REVERSE___	PLATEAU	 0.0581005	 0.1416474	 0.0515861	 0.0518798	
100000	16	REVERSE___	SHUFFLE	 1.9721973	 2.5280915	 1.4570903	 1.4405257	
100000	16	DITHER____	SPIRAL	 2.4295952	 3.5058586	 1.0835126	 1.0088442	
100000	16	DITHER____	STAGGER	 0.7090932	 1.0801737	 0.6698383	 0.7077819	
100000	16	DITHER____	SAWTOTH	 1.5826300	 1.6935774	 0.5329819	 0.5329056	
100000	16	DITHER____	_RANDOM	 1.9786154	 2.1098499	! 1.2072871	! 1.0512738	
100000	16	DITHER____	PLATEAU	 0.2880989	 0.4480635	 0.2790006	 0.2660904	
100000	16	DITHER____	SHUFFLE	 1.9021577	 3.0811737	 1.4151558	 1.3933645	
100000	16	REVERSE_BA	SPIRAL	 2.7309654	 3.3704176	 0.9633103	 0.9353295	
100000	16	REVERSE_BA	STAGGER	 0.8437528	 1.1020901	 0.7938205	 0.7579786	
100000	16	REVERSE_BA	SAWTOTH	 0.9778278	 1.0132918	 0.5384090	 0.5309123	
100000	16	REVERSE_BA	_RANDOM	 1.9665711	 2.0203747	! 1.1017177	! 0.8464038	
100000	16	REVERSE_BA	PLATEAU	 0.0533073	 0.0646455	 0.0531415	 0.0530878	
100000	16	REVERSE_BA	SHUFFLE	 1.9475626	 2.6375304	 1.3949756	 1.3766401	
100000	16	REVERSE_FR	SPIRAL	 2.1514979	 3.2698198	 0.9516722	 0.9313120	
100000	16	REVERSE_FR	STAGGER	 0.8100581	 1.1696563	 0.7768098	 0.7770739	
100000	16	REVERSE_FR	SAWTOTH	 1.0434701	 1.0553398	 0.5501577	 0.5401536	
100000	16	REVERSE_FR	_RANDOM	 1.9932347	 2.0708702	! 0.8605968	 0.6418173	
100000	16	REVERSE_FR	PLATEAU	 0.0530147	 0.2993250	 0.0518632	 0.0521232	
100000	16	REVERSE_FR	SHUFFLE	 1.5054894	 2.6823224	 1.3990223	 1.3777749	
100000	256	IDENT_____	SPIRAL	 1.2697049	 2.6180057	 1.2709923	 1.2669104	
100000	256	IDENT_____	STAGGER	 1.3373152	 6.0042790	 1.3491933	 1.3469958	
100000	256	IDENT_____	SAWTOTH	 1.4619694	 2.2625405	 1.4666407	 1.4677033	
100000	256	IDENT_____	_RANDOM	 3.7019477	 4.2779114	 0.7467282	 0.5964259	
100000	256	IDENT_____	PLATEAU	 0.0530539	 0.0649860	 0.0527877	 0.0531505	
100000	256	IDENT_____	SHUFFLE	 0.7558920	 2.2627325	 1.0907926	 1.0853555	
100000	256	REVERSE___	SPIRAL	 2.0220925	 1.9636249	 1.3260342	 1.3240893	
100000	256	REVERSE___	STAGGER	 1.4048079	 6.7098218	 1.4032832	 1.4029189	
100000	256	REVERSE___	SAWTOTH	 1.5379599	 2.1181233	 1.4958054	 1.4956804	
100000	256	REVERSE___	_RANDOM	 3.6455125	 4.3173312	 0.6472753	 0.6434202	
100000	256	REVERSE___	PLATEAU	 0.0529293	 0.1411945	 0.0521871	 0.0520361	
100000	256	REVERSE___	SHUFFLE	 1.0444144	 1.9305728	 1.0351254	 1.0402255	
100000	256	DITHER____	SPIRAL	 2.0703696	 2.9496432	 1.0811117	 0.9988608	
100000	256	DITHER____	STAGGER	 1.6903888	 6.0175040	 1.6926473	 1.6959133	
100000	256	DITHER____	SAWTOTH	 2.6877534	 2.6147007	 0.8603617	 0.8752815	
100000	256	DITHER____	_RANDOM	 3.6613072	 4.3349399	 0.8601714	 0.8426369	
100000	256	DITHER____	PLATEAU	 0.3208581	 0.4080837	 0.3124308	 0.2931340	
100000	256	DITHER____	SHUFFLE	 1.3103584	 2.5896653	 1.3691621	 1.3469657	
100000	256	REVERSE_BA	SPIRAL	 1.3024922	 2.5523699	 1.3112493	 1.3105556	
100000	256	REVERSE_BA	STAGGER	 1.3876262	 5.6583009	 1.4073863	 1.4082063	
100000	256	REVERSE_BA	SAWTOTH	 1.4976743	 2.2801463	 1.4723887	 1.4714119	
100000	256	REVERSE_BA	_RANDOM	 3.6410992	 4.3382490	 0.8710295	 0.5965195	
100000	256	REVERSE_BA	PLATEAU	 0.0529231	 0.0646866	 0.0532303	 0.0526714	
100000	256	REVERSE_BA	SHUFFLE	 0.9636209	 2.0140128	 1.1241765	 1.1211194	
100000	256	REVERSE_FR	SPIRAL	 2.3795813	 2.5231630	 0.9382449	 0.9185925	
100000	256	REVERSE_FR	STAGGER	 1.3921477	 6.7028995	 1.3941574	 1.3955433	
100000	256	REVERSE_FR	SAWTOTH	 1.4737614	 2.5983936	 1.4676257	 1.4681343	
100000	256	REVERSE_FR	_RANDOM	 3.6647375	 4.4186079	 0.5893713	 0.5855752	
100000	256	REVERSE_FR	PLATEAU	 0.0523278	 0.2807246	 0.0584021	 0.0582793	
100000	256	REVERSE_FR	SHUFFLE	 1.0093480	 2.1703413	 1.1311707	 1.1311500	
1000000	1	IDENT_____	SPIRAL	 29.4904237	 35.1241543	 13.6475640	 13.6212218	
1000000	1	IDENT_____	STAGGER	 3.9630489	 4.1413017	 3.9544474	 3.9678864	
1000000	1	IDENT_____	SAWTOTH	 1.2068082	 1.3764933	 1.1818734	 1.1553046	
1000000	1	IDENT_____	_RANDOM	 6.6375475	 6.2900841	
