Parsing sort-1k-1M.log ...
Timings are given in milli-seconds (min time + 1 stddev)
COLUMNS:Length	Sub-size	Builder	Tweaker	BASELINE	DPQ_11	DPQ_19_11_12	DPQ_21_04_24	RADIX	
1000	256	SORT______	SAWTOTH	 0.0000722	 0.0004119	 0.0005025	 0.0005037	 0.0007566	
1000	256	SORT______	_RANDOM	 0.0000723	 0.0005999	 0.0005008	 0.0004999	 0.0007811	
1000	256	SORT______	PLATEAU	 0.0000723	 0.0005985	 0.0005003	 0.0004995	 0.0008728	
1000	256	SORT______	SHUFFLE	 0.0000722	 0.0005989	 0.0004973	 0.0004968	 0.0008721	
1000	256	DITHER____	SPIRAL	 0.0000722	 0.0107809	 0.0148882	 0.0149839	 0.0199183	
1000	256	DITHER____	STAGGER	 0.0000722	 0.0214393	 0.0173648	 0.0164424	 0.0167625	
1000	256	DITHER____	SAWTOTH	 0.0000723	 0.0155316	 0.0210868	 0.0211691	 0.0151737	
1000	256	DITHER____	_RANDOM	 0.0000723	 0.0198214	 0.0209194	 0.0192886	 0.0153445	
1000	256	DITHER____	PLATEAU	 0.0000722	 0.0054562	 0.0042389	 0.0040696	 0.0167076	
1000	256	DITHER____	SHUFFLE	 0.0000723	 0.0076493	 0.0060486	 0.0058856	 0.0201589	
1000	256	REVERSE___	SPIRAL	 0.0000722	 0.0099166	 0.0139915	 0.0158809	 0.0087840	
1000	256	REVERSE___	STAGGER	 0.0000723	 0.0180808	 0.0191383	 0.0170745	 0.0169280	
1000	256	REVERSE___	SAWTOTH	 0.0000723	 0.0082005	 0.0057344	 0.0057240	 0.0084475	
1000	256	REVERSE___	_RANDOM	 0.0000723	 0.0181993	 0.0219910	 0.0217390	 0.0148758	
1000	256	REVERSE___	PLATEAU	 0.0000723	 0.0011876	 0.0008313	 0.0008326	 0.0010347	
1000	256	REVERSE___	SHUFFLE	 0.0000723	 0.0061253	 0.0037327	 0.0036853	 0.0047438	
1000	256	REVERSE_FR	SPIRAL	 0.0000723	 0.0110859	 0.0123594	 0.0118414	 0.0115127	
1000	256	REVERSE_FR	STAGGER	 0.0000723	 0.0144318	 0.0210740	 0.0214470	 0.0169862	
1000	256	REVERSE_FR	SAWTOTH	 0.0000722	 0.0113532	 0.0061914	 0.0061915	 0.0095021	
1000	256	REVERSE_FR	_RANDOM	 0.0000722	 0.0233234	 0.0190247	 0.0206525	 0.0149072	
1000	256	REVERSE_FR	PLATEAU	 0.0000722	 0.0042428	 0.0009231	 0.0009224	 0.0008901	
1000	256	REVERSE_FR	SHUFFLE	 0.0000722	 0.0061202	 0.0032931	 0.0033664	 0.0078013	
1000	256	REVERSE_BA	SPIRAL	 0.0000722	 0.0127880	 0.0072450	 0.0072186	 0.0135343	
1000	256	REVERSE_BA	STAGGER	 0.0000723	 0.0146593	 0.0183151	 0.0198382	 0.0168776	
1000	256	REVERSE_BA	SAWTOTH	 0.0000724	 0.0119157	 0.0061597	 0.0061577	 0.0118027	
1000	256	REVERSE_BA	_RANDOM	 0.0000722	 0.0238623	 0.0215361	 0.0206484	 0.0148610	
1000	256	REVERSE_BA	PLATEAU	 0.0000723	 0.0005985	 0.0005002	 0.0004997	 0.0008735	
1000	256	REVERSE_BA	SHUFFLE	 0.0000722	 0.0084398	! 0.0064457	! 0.0065851	 0.0080347	
10000	1	IDENT_____	SPIRAL	 0.0013473	 0.3399010	 0.2533289	 0.0923135	 0.1853197	
10000	1	IDENT_____	STAGGER	 0.0013453	 0.0461650	 0.0316677	 0.0316420	 0.0426330	
10000	1	IDENT_____	SAWTOTH	 0.0013455	 0.0055541	 0.0036799	 0.0036616	 0.0059313	
10000	1	IDENT_____	_RANDOM	 0.0013469	 0.0055451	 0.0036658	 0.0036746	 0.0059544	
10000	1	IDENT_____	PLATEAU	 0.0013384	 0.0075133	 0.0063041	 0.0062818	 0.0039978	
10000	1	IDENT_____	SHUFFLE	 0.0013411	 0.0075116	 0.0062908	 0.0062686	 0.0039923	
10000	1	REVERSE___	SPIRAL	 0.0013497	 0.2693076	 0.3246535	 0.2981526	 0.1873320	
10000	1	REVERSE___	STAGGER	 0.0013605	 0.0362971	 0.0405411	 0.0406155	 0.0519132	
10000	1	REVERSE___	SAWTOTH	 0.0013537	 0.0055524	 0.0036569	 0.0036626	 0.0059534	
10000	1	REVERSE___	_RANDOM	 0.0013520	 0.0055493	 0.0036609	 0.0036749	 0.0059680	
10000	1	REVERSE___	PLATEAU	 0.0013584	 0.0146699	 0.0046425	 0.0046326	 0.0057386	
10000	1	REVERSE___	SHUFFLE	 0.0013492	 0.0116956	 0.0129596	 0.0129465	 0.0122929	
10000	1	SORT______	SPIRAL	 0.0013460	 0.0074772	 0.0062669	 0.0062692	 0.0040070	
10000	1	SORT______	STAGGER	 0.0013355	 0.0074681	 0.0062660	 0.0062799	 0.0040096	
10000	1	SORT______	SAWTOTH	 0.0013452	 0.0055656	 0.0036602	 0.0036639	 0.0059221	
10000	1	SORT______	_RANDOM	 0.0013466	 0.0055561	 0.0036688	 0.0036473	 0.0059313	
10000	1	SORT______	PLATEAU	 0.0013223	 0.0075241	 0.0063052	 0.0062912	 0.0040241	
