Parsing sort-100.log ...
Timings are given in milli-seconds (min time + 1 stddev)
COLUMNS:Length	Sub-size	Builder	Tweaker	BASELINE	DPQ_11	DPQ_18_11_21	DPQ_19_01_05	DPQ_19_02_10	
100	64	REVERSE_FR	_RANDOM	 0.0000164	 0.0007642	 0.0008258	 0.0008021	 0.0007997	
100	64	REVERSE_FR	PLATEAU	 0.0000164	 0.0004120	 0.0006482	 0.0005200	 0.0000853	
100	64	REVERSE_FR	SHUFFLE	 0.0000165	 0.0004626	 0.0005969	 0.0005285	! 0.0003959	
100	64	REVERSE_BA	STAGGER	 0.0000163	 0.0009303	 0.0008226	 0.0007923	 0.0008260	
100	64	REVERSE_BA	SAWTOTH	 0.0000162	 0.0007884	 0.0007119	 0.0007478	 0.0007319	
100	64	REVERSE_BA	_RANDOM	 0.0000163	 0.0007376	 0.0008459	 0.0007907	 0.0008452	
100	64	REVERSE_BA	PLATEAU	 0.0000162	 0.0003107	 0.0003019	 0.0004886	 0.0002561	
100	64	REVERSE_BA	SHUFFLE	 0.0000164	 0.0003533	! 0.0015876	 0.0004767	! 0.0007331	
100	64	SORT______	STAGGER	 0.0000161	 0.0001367	 0.0001471	 0.0001553	 0.0000535	
100	64	SORT______	SAWTOTH	 0.0000161	 0.0001212	 0.0001419	 0.0001516	 0.0000437	
100	64	SORT______	_RANDOM	 0.0000161	 0.0001234	 0.0001439	 0.0001424	 0.0000497	
100	64	SORT______	PLATEAU	 0.0000192	 0.0001235	 0.0001377	 0.0001348	 0.0000475	
100	64	SORT______	SHUFFLE	 0.0000161	 0.0001205	 0.0001427	 0.0001382	 0.0000507	
100	64	DITHER____	STAGGER	 0.0000162	 0.0009928	 0.0010694	 0.0008644	 0.0009284	
100	64	DITHER____	SAWTOTH	 0.0000162	 0.0008352	 0.0007943	 0.0007769	 0.0007960	
100	64	DITHER____	_RANDOM	 0.0000163	 0.0007660	 0.0008869	 0.0008388	 0.0009335	
100	64	DITHER____	PLATEAU	 0.0000163	 0.0006488	 0.0005332	 0.0005253	 0.0005050	
100	64	DITHER____	SHUFFLE	 0.0000163	 0.0003541	! 0.0037605	 0.0003606	 0.0003720	
