Parsing sort-0.log ...
Timings are given in milli-seconds (min time + 1 stddev)
COLUMNS:Length	Sub-size	Builder	Tweaker	BASELINE	DPQ_11	DPQ_19_05_01	DPQ_19_08_09	
50	7	REVERSE_FR	SHUFFLE	 0.0000158	 0.0002030	 0.0002700	 0.0002824	
50	7	REVERSE_BA	SPIRAL	 0.0000158	 0.0003307	 0.0004053	 0.0003988	
50	7	REVERSE_BA	STAGGER	 0.0000159	 0.0004783	 0.0003580	 0.0003546	
50	7	REVERSE_BA	SAWTOTH	 0.0000159	 0.0002986	 0.0003523	 0.0003509	
50	7	REVERSE_BA	_RANDOM	 0.0000159	 0.0002474	 0.0002839	 0.0002787	
50	7	REVERSE_BA	PLATEAU	 0.0000158	 0.0000441	 0.0000270	 0.0000290	
50	7	REVERSE_BA	SHUFFLE	 0.0000159	 0.0002479	 0.0002921	 0.0003175	
50	15	IDENT_____	SPIRAL	 0.0000158	 0.0003042	 0.0002984	 0.0002949	
50	15	IDENT_____	STAGGER	 0.0000158	 0.0002849	 0.0004286	 0.0004351	
50	15	IDENT_____	SAWTOTH	 0.0000159	 0.0002681	 0.0003402	 0.0003395	
50	15	IDENT_____	_RANDOM	 0.0000158	! 0.0003498	 0.0003730	 0.0003740	
50	15	IDENT_____	PLATEAU	 0.0000159	 0.0000557	 0.0000269	 0.0000289	
50	15	IDENT_____	SHUFFLE	 0.0000158	 0.0001529	 0.0001773	 0.0001776	
50	15	REVERSE___	SPIRAL	 0.0000158	 0.0002157	 0.0003204	 0.0003250	
50	15	REVERSE___	STAGGER	 0.0000158	 0.0002930	 0.0004005	 0.0003985	
50	15	REVERSE___	SAWTOTH	 0.0000158	 0.0002520	 0.0003349	 0.0003305	
50	15	REVERSE___	_RANDOM	 0.0000158	 0.0002872	 0.0003173	 0.0003163	
50	15	REVERSE___	PLATEAU	 0.0000158	 0.0001876	 0.0000447	 0.0000440	
50	15	REVERSE___	SHUFFLE	 0.0000158	 0.0002361	 0.0002728	 0.0003123	
50	15	SORT______	SPIRAL	 0.0000158	 0.0000756	 0.0000271	 0.0000290	
50	15	SORT______	STAGGER	 0.0000158	 0.0000753	 0.0000248	 0.0000247	
50	15	SORT______	SAWTOTH	 0.0000158	 0.0000753	 0.0000288	 0.0000302	
50	15	SORT______	_RANDOM	 0.0000158	 0.0000782	 0.0000281	 0.0000300	
50	15	SORT______	PLATEAU	 0.0000159	 0.0000557	 0.0000270	 0.0000289	
50	15	SORT______	SHUFFLE	 0.0000159	 0.0000755	 0.0000270	 0.0000289	
50	15	DITHER____	SPIRAL	 0.0000158	 0.0002556	 0.0003616	 0.0003937	
50	15	DITHER____	STAGGER	 0.0000158	 0.0003035	 0.0004261	 0.0004178	
50	15	DITHER____	SAWTOTH	 0.0000159	 0.0002608	 0.0003276	 0.0003233	
50	15	DITHER____	_RANDOM	 0.0000158	 0.0003087	 0.0003344	 0.0003429	
50	15	DITHER____	PLATEAU	 0.0000158	 0.0002150	 0.0002415	 0.0002378	
50	15	DITHER____	SHUFFLE	 0.0000158	 0.0001821	 0.0001838	 0.0001825	
