Parsing sort-100,500,5000.log ...
Timings are given in milli-seconds (min time + 1 stddev)
COLUMNS:Length	Sub-size	Builder	Tweaker	BASELINE	DPQ_11	DPQ_19_02_10	DPQ_19_04_05	
100	4096	IDENT_____	STAGGER	 0.0000166	 0.0009285	 0.0008184	 0.0008136	
100	4096	IDENT_____	SAWTOTH	 0.0000166	 0.0001191	 0.0000456	 0.0000456	
100	4096	IDENT_____	_RANDOM	 0.0000166	 0.0007778	 0.0008978	 0.0008550	
100	4096	IDENT_____	PLATEAU	 0.0000166	 0.0001191	 0.0000458	 0.0000456	
100	4096	IDENT_____	SHUFFLE	 0.0000166	 0.0001191	 0.0000455	 0.0000455	
100	4096	REVERSE___	SPIRAL	 0.0000166	 0.0001188	 0.0000455	 0.0000456	
100	4096	REVERSE___	STAGGER	 0.0000166	 0.0008367	 0.0009392	 0.0009555	
100	4096	REVERSE___	SAWTOTH	 0.0000166	 0.0004119	 0.0000995	 0.0000992	
100	4096	REVERSE___	_RANDOM	 0.0000166	 0.0007695	 0.0008857	 0.0008211	
100	4096	REVERSE___	PLATEAU	 0.0000166	 0.0004085	 0.0000994	 0.0000993	
100	4096	REVERSE___	SHUFFLE	 0.0000166	 0.0004031	 0.0000994	 0.0000991	
100	4096	REVERSE_FR	SPIRAL	 0.0000166	 0.0006959	 0.0002115	 0.0012181	
100	4096	REVERSE_FR	STAGGER	 0.0000166	 0.0007231	 0.0009300	 0.0009367	
100	4096	REVERSE_FR	SAWTOTH	 0.0000166	 0.0004055	 0.0000868	 0.0000854	
100	4096	REVERSE_FR	_RANDOM	 0.0000166	 0.0007123	 0.0008656	 0.0009022	
100	4096	REVERSE_FR	PLATEAU	 0.0000166	 0.0004104	 0.0000872	 0.0000854	
100	4096	REVERSE_FR	SHUFFLE	 0.0000166	 0.0004175	 0.0000872	 0.0000855	
100	4096	REVERSE_BA	SPIRAL	 0.0000166	 0.0007538	 0.0011642	 0.0012001	
100	4096	REVERSE_BA	STAGGER	 0.0000166	 0.0010823	 0.0007393	 0.0007975	
100	4096	REVERSE_BA	SAWTOTH	 0.0000166	 0.0002177	 0.0002969	 0.0003771	
100	4096	REVERSE_BA	_RANDOM	 0.0000166	 0.0009224	 0.0009186	 0.0008403	
100	4096	REVERSE_BA	PLATEAU	 0.0000166	 0.0002185	 0.0002952	 0.0003758	
100	4096	REVERSE_BA	SHUFFLE	 0.0000166	 0.0002178	 0.0002963	 0.0003773	
100	4096	SORT______	SPIRAL	 0.0000159	 0.0001213	 0.0000459	 0.0000453	
100	4096	SORT______	STAGGER	 0.0000159	 0.0001186	 0.0000453	 0.0000453	
100	4096	SORT______	SAWTOTH	 0.0000160	 0.0001182	 0.0000453	 0.0000452	
100	4096	SORT______	_RANDOM	 0.0000159	 0.0001214	 0.0000453	 0.0000453	
100	4096	SORT______	PLATEAU	 0.0000159	 0.0001187	 0.0000453	 0.0000457	
100	4096	SORT______	SHUFFLE	 0.0000159	 0.0001188	 0.0000453	 0.0000453	
100	4096	DITHER____	SPIRAL	 0.0000166	 0.0003345	 0.0001025	 0.0001023	
100	4096	DITHER____	STAGGER	 0.0000166	 0.0008555	 0.0007356	 0.0007742	
100	4096	DITHER____	SAWTOTH	 0.0000166	 0.0003583	 0.0004134	 0.0003677	
100	4096	DITHER____	_RANDOM	 0.0000166	 0.0008143	 0.0008965	 0.0008497	
100	4096	DITHER____	PLATEAU	 0.0000166	 0.0003577	 0.0004151	 0.0003669	
100	4096	DITHER____	SHUFFLE	 0.0000166	 0.0002148	 0.0004416	 0.0003416	
500	1	IDENT_____	SPIRAL	 0.0000391	 0.0068256	 0.0051628	 0.0054589	
500	1	IDENT_____	STAGGER	 0.0000356	 0.0013903	 0.0011714	 0.0011753	
500	1	IDENT_____	SAWTOTH	 0.0000356	 0.0001994	 0.0001321	 0.0001268	
500	1	IDENT_____	_RANDOM	 0.0000360	 0.0002068	 0.0001271	 0.0001325	
500	1	IDENT_____	PLATEAU	 0.0000360	 0.0002018	 0.0002124	 0.0002089	
500	1	IDENT_____	SHUFFLE	 0.0000360	 0.0002016	 0.0002080	 0.0002087	
500	1	REVERSE___	SPIRAL	 0.0000391	 0.0046491	 0.0079170	 0.0062931	
500	1	REVERSE___	STAGGER	 0.0000356	 0.0019201	 0.0014779	 0.0014860	
500	1	REVERSE___	SAWTOTH	 0.0000395	 0.0001961	 0.0001221	 0.0001232	
500	1	REVERSE___	_RANDOM	 0.0000360	 0.0002054	 0.0001279	 0.0001337	
500	1	REVERSE___	PLATEAU	 0.0000357	 0.0004647	 0.0001304	 0.0001307	
500	1	REVERSE___	SHUFFLE	 0.0000360	 0.0004461	 0.0004836	 0.0004849	
500	1	REVERSE_FR	SPIRAL	 0.0000356	 0.0054456	 0.0049179	 0.0054904	
500	1	REVERSE_FR	STAGGER	 0.0000358	 0.0017760	 0.0013573	 0.0013364	
500	1	REVERSE_FR	SAWTOTH	 0.0000356	 0.0001998	 0.0001275	 0.0001267	
500	1	REVERSE_FR	_RANDOM	 0.0000360	 0.0001999	 0.0001269	 0.0001311	
500	1	REVERSE_FR	PLATEAU	 0.0000358	 0.0014457	 0.0001387	 0.0001415	
500	1	REVERSE_FR	SHUFFLE	 0.0000360	 0.0003370	 0.0004079	 0.0004075	
500	1	REVERSE_BA	SPIRAL	 0.0000391	 0.0050055	 0.0078196	 0.0076710	
500	1	REVERSE_BA	STAGGER	 0.0000356	 0.0017939	 0.0013209	 0.0013173	
500	1	REVERSE_BA	SAWTOTH	 0.0000357	 0.0001999	 0.0001283	 0.0001274	
500	1	REVERSE_BA	_RANDOM	 0.0000360	 0.0002070	 0.0001287	 0.0001307	
500	1	REVERSE_BA	PLATEAU	 0.0000358	 0.0002047	 0.0002138	 0.0002131	
500	1	REVERSE_BA	SHUFFLE	 0.0000360	 0.0018090	 0.0013865	 0.0013864	
500	1	SORT______	SPIRAL	 0.0000349	 0.0002020	 0.0002123	 0.0002124	
500	1	SORT______	STAGGER	 0.0000424	 0.0001957	 0.0001587	 0.0001591	
500	1	SORT______	SAWTOTH	 0.0000509	 0.0001834	 0.0001147	 0.0001147	
500	1	SORT______	_RANDOM	 0.0000349	 0.0001995	 0.0001305	 0.0001307	
500	1	SORT______	PLATEAU	 0.0000349	 0.0002020	 0.0002176	 0.0002120	
500	1	SORT______	SHUFFLE	 0.0000349	 0.0002020	 0.0002123	 0.0002123	
500	1	DITHER____	SPIRAL	 0.0000391	 0.0063979	 0.0062153	 0.0051318	
500	1	DITHER____	STAGGER	 0.0000396	 0.0049087	 0.0083480	 0.0084345	
500	1	DITHER____	SAWTOTH	 0.0000394	 0.0025895	 0.0014720	 0.0021062	
