Parsing sort-1k-1M.log ...
Timings are given in milli-seconds (min time + 1 stddev)
COLUMNS:Length	Sub-size	Builder	Tweaker	DPQ_11	DPQ_19_11_12	DPQ_21_04_24	
1000000	16	REVERSE___	_RANDOM	 19.8335797	 19.7604353	! 10.2852786	
1000000	16	REVERSE___	PLATEAU	 1.4986226	 0.6711466	 0.6495947	
1000000	16	REVERSE___	SHUFFLE	 28.2945255	 17.3168532	 24.8329962	
1000000	16	DITHER____	SPIRAL	 38.6764613	 28.3435077	 11.8130452	
1000000	16	DITHER____	STAGGER	 12.6907103	 6.8589718	 6.9001426	
1000000	16	DITHER____	SAWTOTH	 14.7988186	 5.8621780	 6.1376985	
1000000	16	DITHER____	_RANDOM	 21.4048436	 20.4685310	! 12.1345019	
1000000	16	DITHER____	PLATEAU	 4.1855121	 3.3676441	 3.8420394	
1000000	16	DITHER____	SHUFFLE	 33.3245963	 20.9866214	 23.2826688	
1000000	16	REVERSE_BA	SPIRAL	 37.1900453	 28.8054517	 12.5890226	
1000000	16	REVERSE_BA	STAGGER	 16.2660978	 7.6226773	 7.5827242	
1000000	16	REVERSE_BA	SAWTOTH	 12.0113839	 11.1127411	 5.7125608	
1000000	16	REVERSE_BA	_RANDOM	 20.3084650	 19.6673512	 6.8420257	
1000000	16	REVERSE_BA	PLATEAU	 0.8256938	 0.8327511	 0.8096096	
1000000	16	REVERSE_BA	SHUFFLE	 28.8731892	 19.8169986	 25.1600426	
