
--- Bentley Basher ---

Start warm up ...
Warmup length: 501 reps: 60
lreps: 9 with reps: 3

Warmup length: 10001 reps: 60
lreps: 9 with reps: 3

total: 600120
  End warm up (21060 iterations per sort).

-----


Starting benchmarks ...
Timings are given in milli-seconds (min time + 1 stddev)

Timings are estimated using auto-tune to satisfy the maximal uncertainty of       2.00 % , convergence at       4.00 sigma with max test duration =    3000.00 ms.


COLUMNS:Length Sub-size  Builder Tweaker	BASELINE	DPQ_11	DPQ_18_11_21	DPQ_18_11I	DPQ_18_11P	RADIX	MARLIN	[DPQ_11 % DPQ_18_11_21]

lreps: 9 with reps: 15695

50 16  PLATEAU REVERSE_BA	   0.000014	   0.000093	   0.000111	   0.000075	   0.000078	   0.000101	   0.000141	     83.93 % 
50 16  SHUFFLE REVERSE_BA	   0.000014	   0.000206	   0.000269	   0.000232	   0.000180	   0.000344	   0.000422	     76.63 % 
50 16  STAGGER SORT______	   0.000014	   0.000113	   0.000111	   0.000108	   0.000078	   0.000101	   0.000137	    102.15 % ..
50 16  SAWTOTH SORT______	   0.000014	   0.000113	   0.000111	   0.000126	   0.000078	   0.000102	   0.000137	    102.18 % ..
50 16  _RANDOM SORT______	   0.000014	   0.000135	   0.000111	   0.000121	   0.000078	   0.000102	   0.000137	    122.28 % .!!!.
50 16  PLATEAU SORT______	   0.000014	   0.000093	   0.000111	   0.000075	   0.000078	   0.000101	   0.000141	     83.94 % 
50 16  SHUFFLE SORT______	   0.000014	   0.000113	   0.000111	   0.000108	   0.000078	   0.000101	   0.000137	    102.18 % ..
50 16  STAGGER DITHER____	   0.000014	   0.000348	   0.000337	   0.000326	   0.000346	   0.001654	   0.000508	    103.18 % ..
50 16  SAWTOTH DITHER____	   0.000014	   0.000364	   0.000350	   0.000315	   0.000269	   0.000685	   0.000497	    104.09 % ..
50 16  _RANDOM DITHER____	   0.000014	   0.000365	   0.000396	   0.000331	   0.000332	   0.001753	   0.000520	     92.15 % 
50 16  PLATEAU DITHER____	   0.000014	   0.000258	   0.000242	   0.000231	   0.000219	   0.000631	   0.000382	    106.48 % .!.
50 16  SHUFFLE DITHER____	   0.000014	   0.000200	$   0.000129	   0.000164	   0.000122	   0.000626	   0.000254	    155.25 % .!!!.
50 64  STAGGER IDENT_____	   0.000014	   0.000296	   0.000390	   0.000295	   0.000355	   0.001736	   0.000526	     76.05 % 
50 64  SAWTOTH IDENT_____	   0.000014	   0.000113	   0.000111	   0.000108	   0.000078	   0.000101	   0.000137	    102.22 % ..
50 64  _RANDOM IDENT_____	   0.000014	   0.000352	   0.000408	   0.000354	   0.000329	   0.001774	   0.000523	     86.10 % 
50 64  PLATEAU IDENT_____	   0.000014	   0.000113	   0.000110	   0.000108	   0.000078	   0.000101	   0.000137	    102.26 % ..
50 64  SHUFFLE IDENT_____	   0.000014	   0.000152	$   0.000114	   0.000128	   0.000086	!  0.000194	!  0.000188	    132.73 % .!!!.
50 64  STAGGER REVERSE___	   0.000014	   0.000337	   0.000411	   0.000384	   0.000340	   0.001828	   0.000541	     82.17 % 
50 64  SAWTOTH REVERSE___	   0.000014	   0.000212	   0.000597	   0.000187	   0.000369	   0.000134	   0.000616	     35.50 % 
50 64  _RANDOM REVERSE___	   0.000014	   0.000404	   0.000413	   0.000341	   0.000345	   0.001792	   0.000534	     97.88 % 
50 64  PLATEAU REVERSE___	   0.000014	   0.000212	   0.000601	   0.000187	   0.000369	   0.000134	   0.000616	     35.29 % 
