
--- Bentley Basher ---

Start warm up ...
Warmup length: 501 reps: 60
lreps: 9 with reps: 3

Warmup length: 10001 reps: 60
lreps: 9 with reps: 3

total: 600120
  End warm up (21060 iterations per sort).

-----


Starting benchmarks ...
Timings are given in milli-seconds (min time + 1 stddev)

Timings are estimated using auto-tune to satisfy the maximal uncertainty of       2.00 % , convergence at       4.00 sigma with max test duration =   10000.00 ms.


COLUMNS:Length Sub-size  Builder Tweaker	BASELINE	DPQ_11	DPQ_18_11_21	DPQ_18_11I	DPQ_18_11P	RADIX	MARLIN	[DPQ_11 % DPQ_18_11_21]

lreps: 1 with reps: 90

50000 64  SAWTOTH REVERSE___	   0.011642	   1.642202	   1.863581	   1.703417	   1.961843	   1.059071	   3.505940	     88.12 % 
50000 64  _RANDOM REVERSE___	   0.011625	   2.793201	   3.069443	   2.918290	   2.993642	   1.057876	   7.117433	     91.00 % 
50000 64  PLATEAU REVERSE___	   0.011627	   0.064907	   0.015723	   0.015781	   0.015703	   0.013591	   0.268854	    412.82 % .!!!!!.
50000 64  SHUFFLE REVERSE___	   0.011649	   1.638043	$   1.346202	   1.214302	   1.487197	   1.755426	   2.856091	    121.68 % .!!!.
50000 64  STAGGER REVERSE_FR	   0.011654	   1.879775	   5.394362	   4.794540	   5.486122	   1.456356	   2.333936	     34.85 % 
50000 64  SAWTOTH REVERSE_FR	   0.011664	   1.658132	   1.947657	   1.736850	   2.074138	   1.059254	   3.198269	     85.13 % 
50000 64  _RANDOM REVERSE_FR	   0.011651	   2.829019	   2.973894	   2.893443	   3.059845	   1.058467	   7.123775	     95.13 % 
50000 64  PLATEAU REVERSE_FR	   0.011651	   0.192183	   0.015774	   0.015827	   0.015708	   0.013628	   0.271378	   1218.32 % .!!!!!.
50000 64  SHUFFLE REVERSE_FR	   0.011645	   1.820078	$   1.383826	   1.137013	   1.465288	   1.868531	   2.510787	    131.53 % .!!!.
50000 64  STAGGER REVERSE_BA	   0.011666	   1.889005	   5.561855	   4.838465	   5.586993	   1.437802	   2.349318	     33.96 % 
50000 64  SAWTOTH REVERSE_BA	   0.011641	   1.553551	   1.884896	   1.744921	   1.906370	   1.058191	   3.200632	     82.42 % 
50000 64  _RANDOM REVERSE_BA	   0.011632	   2.837422	   3.025285	   2.821381	   2.983923	   1.057663	   7.118413	     93.79 % 
50000 64  PLATEAU REVERSE_BA	   0.011645	   0.020609	   0.029367	   0.022900	   0.029375	   0.019174	   0.270932	     70.18 % 
50000 64  SHUFFLE REVERSE_BA	   0.011675	   1.686671	   1.382122	   1.160525	   1.482817	   1.810990	   2.500966	    122.03 % .!!!.
50000 64  STAGGER SORT______	   0.011657	   0.020583	   0.029406	   0.022889	   0.029395	   0.019179	   0.248045	     70.00 % 
50000 64  SAWTOTH SORT______	   0.011650	   0.020611	   0.029118	   0.022694	   0.029104	   0.019069	   0.271497	     70.78 % 
50000 64  _RANDOM SORT______	   0.011642	   0.020634	   0.029165	   0.022789	   0.029182	   0.019048	   0.271252	     70.75 % 
50000 64  PLATEAU SORT______	   0.011665	   0.020577	   0.029356	   0.022823	   0.029364	   0.019158	   0.271047	     70.09 % 
50000 64  SHUFFLE SORT______	   0.011676	   0.020598	   0.029345	   0.022849	   0.029367	   0.019164	   0.247950	     70.19 % 
50000 64  STAGGER DITHER____	   0.011643	   1.850233	   5.256511	   4.707425	   5.282266	   1.430763	   1.914493	     35.20 % 
50000 64  SAWTOTH DITHER____	   0.011636	   1.957979	   2.343965	   2.153607	   2.269065	   1.057587	   3.373080	     83.53 % 
50000 64  _RANDOM DITHER____	   0.011649	   2.869743	   2.997868	   2.934472	   2.980666	   1.057666	   7.144368	     95.73 % 
50000 64  PLATEAU DITHER____	   0.011659	   0.184057	   0.128524	   0.134915	   0.149996	   1.057328	   3.089678	    143.21 % .!!!.
50000 64  SHUFFLE DITHER____	   0.011643	   2.109174	$   1.521434	   1.240594	   1.537881	   1.922014	   2.295492	    138.63 % .!!!.
50000 256  STAGGER IDENT_____	   0.011640	   5.475196	   5.799515	   5.267882	   5.829101	   1.659217	   2.363049	     94.41 % 
50000 256  SAWTOTH IDENT_____	   0.011641	   2.029276	   2.713676	   2.281447	   2.826619	   1.064915	   2.329307	     74.78 % 
50000 256  _RANDOM IDENT_____	   0.011631	   3.829547	   4.006618	   3.782990	   3.965372	   1.060982	   8.042280	     95.58 % 
50000 256  PLATEAU IDENT_____	   0.011626	   0.020619	   0.029391	   0.022827	   0.029407	   0.019220	   0.270577	     70.15 % 
50000 256  SHUFFLE IDENT_____	   0.011661	   1.805530	   0.606678	   0.457714	   0.631016	   1.871655	   1.693105	    297.61 % .!!!!!.
50000 256  STAGGER REVERSE___	   0.011653	   5.379035	   5.806750	   5.273733	   5.852366	   1.662877	   3.163995	     92.63 % 
50000 256  SAWTOTH REVERSE___	   0.011666	   2.059991	   2.544900	   2.238322	   2.728146	   1.068168	   3.136668	     80.95 % 
50000 256  _RANDOM REVERSE___	   0.011635	   3.842069	   4.086469	   3.789751	   4.025641	   1.060897	   8.040972	     94.02 % 
50000 256  PLATEAU REVERSE___	   0.011655	   0.064921	   0.016116	   0.016040	   0.016109	   0.013802	   0.270327	    402.83 % .!!!!!.
50000 256  SHUFFLE REVERSE___	   0.011667	   1.630744	$   1.137336	   0.858420	   1.305253	   1.739618	   2.486636	    143.38 % .!!!.
50000 256  STAGGER REVERSE_FR	   0.011670	   5.482403	   5.964907	   5.292098	   6.026323	   1.664821	   2.788228	     91.91 % 
50000 256  SAWTOTH REVERSE_FR	   0.011648	   2.145161	   2.670462	   2.317949	   2.863294	   1.069361	$   2.809372	     80.33 % 
50000 256  _RANDOM REVERSE_FR	   0.011657	   3.838440	   4.060670	   3.840085	   4.061632	   1.060965	   8.041487	     94.53 % 
50000 256  PLATEAU REVERSE_FR	   0.011647	   0.192296	   0.016207	   0.016116	   0.016161	   0.013913	   0.273317	   1186.47 % .!!!!!.
50000 256  SHUFFLE REVERSE_FR	   0.011658	   1.828660	   1.294890	   1.070972	   1.421328	   1.778751	   2.099010	    141.22 % .!!!.
50000 256  STAGGER REVERSE_BA	   0.011652	   5.415218	   5.832714	   5.282124	   5.907270	   1.660242	   2.787139	     92.84 % 
50000 256  SAWTOTH REVERSE_BA	   0.011666	   2.041131	   2.502094	   2.240396	   2.593117	   1.063821	   2.749650	     81.58 % 
50000 256  _RANDOM REVERSE_BA	   0.011644	   3.848742	   4.076394	   3.833152	   4.078902	   1.060673	   8.042326	     94.42 % 
50000 256  PLATEAU REVERSE_BA	   0.011664	   0.020589	   0.029359	   0.022825	   0.029365	   0.019174	   0.270672	     70.13 % 
50000 256  SHUFFLE REVERSE_BA	   0.011642	   1.621833	   1.116264	   0.705671	   1.216711	   1.806212	   2.096466	    145.29 % .!!!.
50000 256  STAGGER SORT______	   0.011643	   0.020606	   0.029409	   0.022835	   0.029397	   0.019203	   0.247927	     70.07 % 
50000 256  SAWTOTH SORT______	   0.011648	   0.020623	   0.029360	   0.022851	   0.029370	   0.019109	   0.267334	     70.24 % 
50000 256  _RANDOM SORT______	   0.011639	   0.020613	   0.029377	   0.022772	   0.029365	   0.019113	   0.270783	     70.17 % 
50000 256  PLATEAU SORT______	   0.011661	   0.020602	   0.029355	   0.022847	   0.029372	   0.019170	   0.270704	     70.18 % 
50000 256  SHUFFLE SORT______	   0.011662	   0.020593	   0.029345	   0.022848	   0.029348	   0.019157	   0.248151	     70.17 % 
50000 256  STAGGER DITHER____	   0.011658	   5.437563	   5.746505	   5.209122	   5.735897	   1.656888	   2.409611	     94.62 % 
50000 256  SAWTOTH DITHER____	   0.011645	   2.433993	   3.147338	   2.668573	   3.064127	   1.068676	   2.784301	     77.33 % 
50000 256  _RANDOM DITHER____	   0.011628	   3.874177	   4.042834	   3.832354	   4.036903	   1.069347	   8.041947	     95.83 % 
50000 256  PLATEAU DITHER____	   0.011663	   0.180185	   0.123438	   0.134449	   0.167983	   1.055921	   3.081621	    145.97 % .!!!.
50000 256  SHUFFLE DITHER____	   0.011661	   2.046848	$   1.249354	   1.020179	   1.276711	   1.910927	   1.881843	    163.83 % .!!!!.
50000 1024  STAGGER IDENT_____	   0.011642	   4.422099	   5.390232	   5.187639	   5.521969	   1.568501	   2.838755	     82.04 % 
50000 1024  SAWTOTH IDENT_____	   0.011658	   1.574306	   0.631858	   0.689251	   0.690960	   1.230839	   1.827690	    249.16 % .!!!!!.
50000 1024  _RANDOM IDENT_____	   0.011666	   4.921039	   5.411857	   5.121955	   5.388284	   1.459206	   8.839588	     90.93 % 
50000 1024  PLATEAU IDENT_____	   0.011656	   0.020605	   0.029354	   0.022847	   0.029370	   0.019172	   0.269994	     70.19 % 
50000 1024  SHUFFLE IDENT_____	   0.011654	   1.331410	!  0.315480	   0.307386	   0.360527	   1.821581	   1.304233	    422.03 % .!!!!!.
