
--- Bentley Basher ---

Start warm up ...
Warmup length: 501 reps: 20
lreps: 81 with reps: 1

Warmup length: 10001 reps: 20
lreps: 1 with reps: 10

  End warm up (53880 iterations per sort).

-----


Starting benchmarks ...
Timings are given in milli-seconds (rms = mean + 1 stddev)


Length Sub-size  Builder Tweaker	BASELINE	DPQ_18_11	DPQ_18_11P	DPQ_18_11_21	DPQ_11	RADIX	MARLIN	[DPQ_18_11 % DPQ_18_11P]

lreps: 801 with reps: 17

100 4  STAGGER IDENT_____	   0.000015	   0.000884	   0.000800	   0.000880	   0.000752	   0.000881	   0.000974	    110.50 % .!!.
100 4  SAWTOTH IDENT_____	   0.000015	   0.000517	   0.000889	   0.000456	   0.000318	   0.003639	   0.001088	     58.10 % 
100 4  _RANDOM IDENT_____	   0.000015	   0.000573	   0.000993	   0.000479	!  0.000551	   0.003692	   0.001083	     57.70 % 
100 4  PLATEAU IDENT_____	   0.000015	   0.000103	   0.000137	   0.000102	   0.000153	   0.000122	   0.000269	     75.04 % 
100 4  SHUFFLE IDENT_____	   0.000014	   0.000832	   0.000689	   0.000672	!  0.000945	   0.004544	   0.000909	    120.79 % .!!!.
100 4  STAGGER REVERSE___	   0.000015	   0.001148	   0.001123	   0.001126	   0.000698	   0.000989	   0.001342	    102.22 % ..
100 4  SAWTOTH REVERSE___	   0.000015	   0.000587	   0.000952	   0.000477	   0.000262	   0.003718	   0.001117	     61.70 % 
100 4  _RANDOM REVERSE___	   0.000015	   0.000610	   0.001021	   0.000520	!  0.000473	   0.003684	   0.001078	     59.74 % 
100 4  PLATEAU REVERSE___	   0.000015	   0.000101	   0.000247	   0.000111	   0.000155	   0.000126	   0.000321	     40.79 % 
100 4  SHUFFLE REVERSE___	   0.000015	   0.000960	   0.001515	   0.000774	!  0.001012	   0.005062	   0.001314	     63.36 % 
100 4  STAGGER REVERSE_FR	   0.000015	   0.000886	   0.000912	   0.000839	   0.000708	   0.000938	   0.001144	     97.10 % 
100 4  SAWTOTH REVERSE_FR	   0.000015	   0.000483	   0.000926	   0.000428	   0.000305	   0.003709	   0.001098	     52.17 % 
100 4  _RANDOM REVERSE_FR	   0.000015	   0.000583	   0.000999	   0.000539	!  0.000466	   0.003676	   0.001091	     58.38 % 
100 4  PLATEAU REVERSE_FR	   0.000015	   0.000108	   0.000189	   0.000108	   0.000171	   0.000127	   0.000319	     57.30 % 
100 4  SHUFFLE REVERSE_FR	   0.000014	   0.000846	   0.000990	   0.000834	   0.000884	   0.004349	   0.001123	     85.53 % 
100 4  STAGGER REVERSE_BA	   0.000015	   0.001041	   0.000849	   0.000833	   0.000755	   0.000961	   0.001170	    122.59 % .!!!.
100 4  SAWTOTH REVERSE_BA	   0.000015	   0.000491	   0.000907	   0.000431	   0.000284	   0.003649	   0.001097	     54.11 % 
100 4  _RANDOM REVERSE_BA	   0.000015	   0.000575	   0.001011	   0.000474	!  0.000461	   0.003693	   0.001081	     56.90 % 
100 4  PLATEAU REVERSE_BA	   0.000015	   0.000102	   0.000138	   0.000102	   0.000153	   0.000123	   0.000270	     73.90 % 
100 4  SHUFFLE REVERSE_BA	   0.000015	   0.001011	   0.000887	   0.000869	!  0.001011	   0.004465	   0.001121	    113.95 % .!!.
100 4  STAGGER SORT______	   0.000015	   0.000568	   0.000137	   0.000225	   0.000196	   0.000121	   0.000248	    415.19 % .!!!!!.
100 4  SAWTOTH SORT______	   0.000015	   0.000309	   0.000137	   0.000234	   0.000343	   0.000122	   0.000274	    225.26 % .!!!!!.
100 4  _RANDOM SORT______	   0.000015	   0.000545	   0.000139	   0.000232	   0.000332	   0.000119	   0.000260	    391.33 % .!!!!!.
