
--- Bentley Basher ---

Start warm up ...
Warmup length: 501 reps: 20
lreps: 81 with reps: 1

Warmup length: 10001 reps: 20
lreps: 1 with reps: 10

  End warm up (53880 iterations per sort).

-----


Starting benchmarks ...
Timings are given in milli-seconds (rms = mean + 1 stddev)

Timings are estimated using auto-tune to satisfy the maximal uncertainty of 2%.


Length Sub-size  Builder Tweaker	BASELINE	DPQ_11	DPQ_18_11_21	DPQ_18_11P	RADIX	[DPQ_11 % DPQ_18_11_21]

lreps: 801 with reps: 17

100 4  SHUFFLE SORT______	   0.000015	   0.000194	   0.000229	   0.000130	   0.000120	     84.84 % 
100 4  STAGGER DITHER____	   0.000015	   0.000759	   0.000879	   0.000861	   0.000954	     86.26 % 
100 4  SAWTOTH DITHER____	   0.000015	   0.000497	   0.001122	   0.001085	   0.003626	     44.32 % 
100 4  _RANDOM DITHER____	   0.000015	   0.000525	   0.000657	   0.001062	   0.003655	     79.93 % 
100 4  PLATEAU DITHER____	   0.000015	   0.000338	   0.000479	   0.000918	   0.003618	     70.47 % 
100 4  SHUFFLE DITHER____	   0.000015	   0.000947	   0.000729	   0.000714	   0.004228	    130.00 % .!!!.
100 16  STAGGER IDENT_____	   0.000015	   0.000896	   0.000831	   0.001010	   0.003895	    107.91 % .!.
100 16  SAWTOTH IDENT_____	   0.000015	   0.000793	   0.000793	   0.000873	   0.001034	    100.03 % ..
100 16  _RANDOM IDENT_____	   0.000015	   0.000834	   0.000971	   0.001109	   0.003679	     85.87 % 
100 16  PLATEAU IDENT_____	   0.000015	   0.000172	   0.000169	   0.000130	   0.000120	    101.66 % ..
100 16  SHUFFLE IDENT_____	   0.000015	!  0.000689	   0.000468	!  0.000428	   0.001208	    147.24 % .!!!.
100 16  STAGGER REVERSE___	   0.000015	   0.000900	   0.000846	   0.000983	   0.004008	    106.39 % .!.
100 16  SAWTOTH REVERSE___	   0.000015	   0.000653	   0.000785	   0.000817	   0.001098	     83.11 % 
100 16  _RANDOM REVERSE___	   0.000015	   0.000948	   0.000924	   0.001134	   0.003690	    102.59 % ..
100 16  PLATEAU REVERSE___	   0.000015	   0.000302	   0.000200	   0.000417	   0.000137	    151.34 % .!!!.
100 16  SHUFFLE REVERSE___	   0.000014	   0.000818	!  0.000743	   0.001313	   0.001176	    110.05 % .!!.
100 16  STAGGER REVERSE_FR	   0.000015	   0.000717	   0.001043	   0.001089	   0.003963	     68.75 % 
100 16  SAWTOTH REVERSE_FR	   0.000015	   0.000749	   0.000861	   0.000936	   0.001076	     87.03 % 
100 16  _RANDOM REVERSE_FR	   0.000015	   0.000981	   0.000972	   0.001110	   0.003681	    100.87 % ..
100 16  PLATEAU REVERSE_FR	   0.000014	   0.000311	   0.000345	   0.000268	   0.000142	     89.98 % 
100 16  SHUFFLE REVERSE_FR	   0.000015	   0.000639	   0.000711	   0.000740	   0.001268	     89.91 % 
100 16  STAGGER REVERSE_BA	   0.000015	   0.000807	   0.000837	   0.001178	   0.003944	     96.32 % 
100 16  SAWTOTH REVERSE_BA	   0.000015	   0.000693	   0.001017	   0.000754	   0.001077	     68.19 % 
100 16  _RANDOM REVERSE_BA	   0.000015	   0.000817	   0.001028	   0.001133	   0.003680	     79.52 % 
100 16  PLATEAU REVERSE_BA	   0.000015	   0.000172	   0.000169	   0.000131	   0.000120	    101.26 % ..
