
--- Bentley Basher ---

Start warm up ...
Warmup length: 501 reps: 20
lreps: 81 with reps: 1

CHECK_SORTED: false
USE_BOTTOM_UP: false
Warmup length: 10001 reps: 20
lreps: 1 with reps: 10

  End warm up (53880 iterations per sort).

-----


Starting benchmarks ...
Timings are given in milli-seconds (rms = mean + 1 stddev)


Length Sub-size  Builder Tweaker	BASELINE	DPQ_18_11	DPQ_18_11P	DPQ_11	RADIX	MARLIN	PEEK_SORT	DPQ_18_11_E	MARLIN_M2	[DPQ_18_11 % DPQ_18_11P]

lreps: 1 with reps: 5

1000000 4096  STAGGER REVERSE___	!  0.754973	 113.176118	 118.920693	 121.039986	  33.176820	  89.708815	  70.067902	 146.498353	 118.579377	     95.17 % 
1000000 4096  SAWTOTH REVERSE___	!  0.752481	  31.865948	  32.929508	  46.737264	  24.825524	  69.762165	  49.580139	  67.842671	  95.953162	     96.77 % 
1000000 4096  _RANDOM REVERSE___	!  0.878968	  91.653864	  97.339583	  96.308906	  24.028191	 196.363920	 191.879656	 121.958859	 228.066794	     94.16 % 
1000000 4096  PLATEAU REVERSE___	   0.616265	   0.951228	   1.024524	   2.096149	   1.036092	  15.531793	   7.818759	   0.966921	  32.110027	     92.85 % 
1000000 4096  SHUFFLE REVERSE___	   0.469464	  22.115091	  21.194006	  30.748927	  36.782777	  53.244151	  35.529754	  45.840754	  78.769797	    104.35 % ..
1000000 4096  STAGGER REVERSE_FR	   0.449949	 113.671101	 118.631543	 119.411159	  33.485601	  83.199819	  68.650313	$ 154.726740	 110.966215	     95.82 % 
1000000 4096  SAWTOTH REVERSE_FR	   0.483944	  31.591044	  32.572693	  46.510128	  24.923700	  65.192526	  49.411338	  67.400900	  88.221660	     96.99 % 
1000000 4096  _RANDOM REVERSE_FR	!  0.708208	  91.888181	  97.681816	  96.305648	  24.183019	 196.542042	 192.117819	 121.535556	 228.244977	     94.07 % 
1000000 4096  PLATEAU REVERSE_FR	   0.485158	   1.189095	   1.189942	   7.707178	   1.193937	  15.909034	  11.819708	   1.134280	  32.657744	     99.93 % 
1000000 4096  SHUFFLE REVERSE_FR	   0.486702	  19.435566	  20.145241	  34.715686	  38.044459	  49.473807	  35.848750	  45.977272	  73.879809	     96.48 % 
1000000 4096  STAGGER REVERSE_BA	   0.484762	 115.855946	 121.030356	 122.391601	  34.202283	  85.447712	  70.405566	 149.334940	 111.221791	     95.72 % 
1000000 4096  SAWTOTH REVERSE_BA	   0.484716	  31.555564	  32.608544	  45.998332	  24.877344	  65.462096	  48.376445	  65.758594	  86.249531	     96.77 % 
1000000 4096  _RANDOM REVERSE_BA	   0.444917
