
--- Bentley Basher ---

Start warm up ...
warmup length: 10010 reps: 25
  End warm up (6000 iterations per sort).


-----


Starting benchmarks ...
Timings are given in milli-seconds (rms = mean + 1 stddev)



                                    DPQ_11         DPQ_18_2         DPQ_18_11         RADIX         MARLIN         MERGE_TD         MERGE_BU        [DPQ_11 % DPQ_18_11]

1000 16  _RANDOM IDENT_____  	  0.008163	  0.009015	  0.007428	  0.018632	  0.027140	  0.028029	  0.039589	    109.91 % .!.
1000 16  PLATEAU IDENT_____  	  0.000798	  0.001667	  0.001546	  0.000842	  0.005879	  0.002460	  0.001923	     51.63 % 
1000 16  SHUFFLE IDENT_____  	  0.025273	  0.010992	  0.012261	  0.030604	  0.019777	  0.017024	  0.015579	    206.13 % .!!!!!.
1000 16  STAGGER REVERSE___  	  0.019743	  0.017867	  0.018511	  0.023875	  0.025999	  0.028837	  0.032479	    106.66 % .!.
1000 16  SAWTOTH REVERSE___  	  0.024607	  0.009627	  0.010306	  0.018958	  0.027982	  0.026525	  0.027367	    238.77 % .!!!!!.
1000 16  _RANDOM REVERSE___  	  0.009184	  0.008642	  0.008021	  0.018722	  0.027075	  0.027898	  0.038556	    114.51 % .!!.
1000 16  PLATEAU REVERSE___  	  0.001363	  0.001747	  0.001568	  0.000787	  0.005965	  0.007417	  0.005157	     86.93 % 
1000 16  SHUFFLE REVERSE___  	  0.023330	  0.011534	  0.011519	  0.032005	  0.024673	  0.027421	  0.032325	    202.54 % .!!!!!.
1000 16  STAGGER REVERSE_FR  	  0.020539	  0.018494	  0.020180	  0.023515	  0.023139	  0.023356	  0.024885	    101.78 % ..
1000 16  SAWTOTH REVERSE_FR  	  0.024208	  0.010809	  0.008489	  0.018911	  0.027427	  0.024319	  0.024263	    285.16 % .!!!!!.
1000 16  _RANDOM REVERSE_FR  	  0.008026	  0.008809	  0.009388	  0.020942	  0.027044	  0.028376	  0.038738	     85.49 % 
1000 16  PLATEAU REVERSE_FR  	  0.004559	  0.001711	  0.001665	  0.000919	  0.005879	  0.005292	  0.004248	    273.81 % .!!!!!.
1000 16  SHUFFLE REVERSE_FR  	  0.025503	  0.010659	  0.011780	  0.030922	  0.022681	  0.022640	  0.024735	    216.50 % .!!!!!.
1000 16  STAGGER REVERSE_BA  	  0.020831	  0.019302	  0.020181	  0.023348	  0.023464	  0.023520	  0.025417	    103.22 % ..
1000 16  SAWTOTH REVERSE_BA  	  0.024417	  0.008944	  0.007978	  0.018554	  0.027684	  0.025655	  0.024295	    306.04 % .!!!!!.
1000 16  _RANDOM REVERSE_BA  	  0.007567	  0.009028	  0.007830	  0.019145	  0.027055	  0.027919	  0.038811	     96.63 % 
1000 16  PLATEAU REVERSE_BA  	  0.000799	  0.001533	  0.001617	  0.000986	  0.005889	  0.002323	  0.001974	     49.40 % 
1000 16  SHUFFLE REVERSE_BA  	  0.019853	  0.011681	  0.012785	  0.032464	  0.022108	  0.022022	  0.023364	    155.27 % .!!!.
1000 16  STAGGER SORT______  	  0.000708	  0.006204	  0.005954	  0.000983	  0.004879	  0.002460	  0.002065	     11.90 % 
1000 16  SAWTOTH SORT______  	  0.000842	  0.008352	  0.008330	  0.000948	  0.005335	  0.002572	  0.001886	     10.11 % 
1000 16  _RANDOM SORT______  	  0.000693	  0.008237	  0.007530	  0.000907	  0.005428	  0.002399	  0.002002	      9.21 % 
1000 16  PLATEAU SORT______  	  0.000876	  0.001606	  0.001655	  0.001015	  0.005771	  0.002452	  0.002037	     52.95 % 
1000 16  SHUFFLE SORT______  	  0.000864	  0.006181	  0.005967	  0.000988	  0.004930	  0.002417	  0.001964	     14.49 % 
1000 16  STAGGER DITHER____  	  0.018677	  0.018414	  0.019997	  0.022940	  0.020571	  0.019681	  0.018492	     93.40 % 
1000 16  SAWTOTH DITHER____  	  0.008161	  0.008959	  0.008903	  0.018448	  0.026688	  0.024097	  0.023724	     91.66 % 
1000 16  _RANDOM DITHER____  	  0.008432	  0.009898	  0.008841	  0.020349	  0.027320	  0.028124	  0.040891	     95.37 % 
1000 16  PLATEAU DITHER____  	  0.005144	  0.004333	  0.004363	  0.018471	  0.025140	  0.022642	  0.023660	    117.90 % .!!.
1000 16  SHUFFLE DITHER____  	  0.013897	  0.011698	  0.013269	  0.030951	  0.020799	  0.017610	  0.017867	    104.73 % ..
1000 64  STAGGER IDENT_____  	  0.027149	  0.018535	  0.020102	  0.020803	  0.025460	  0.023301	  0.024586	    135.06 % .!!!.
1000 64  SAWTOTH IDENT_____  	  0.015436	  0.017070	  0.017593	  0.019072	  0.020237	  0.017538	  0.016793	     87.74 % 
1000 64  _RANDOM IDENT_____  	  0.014580	  0.020778	  0.018560	  0.018713	  0.033814	  0.032830	  0.054111	     78.56 % 
1000 64  PLATEAU IDENT_____  	  0.000786	  0.002875	  0.002980	  0.000959	  0.005721	  0.002494	  0.002085	     26.36 % 
1000 64  SHUFFLE IDENT_____  	  0.017223	  0.007654	  0.008236	  0.030499	  0.017470	  0.014377	  0.013364	    209.12 % .!!!!!.
1000 64  STAGGER REVERSE___  	  0.028378	  0.017632	  0.018636	  0.021359	  0.029201	  0.026335	  0.027811	    152.28 % .!!!.
