
--- Bentley Basher ---

Start warm up ...
Warmup length: 501 reps: 20
lreps: 81 with reps: 1

Warmup length: 10001 reps: 20
lreps: 1 with reps: 10

  End warm up (53880 iterations per sort).

-----


Starting benchmarks ...
Timings are given in milli-seconds (rms = mean + 1 stddev)

Timings are estimated using auto-tune to satisfy the maximal uncertainty of 2 %.


Length Sub-size  Builder Tweaker	BASELINE	DPQ_11	DPQ_18_11_21	DPQ_18_11P	RADIX	[DPQ_11 % DPQ_18_11_21]

lreps: 1 with reps: 5

50000 1024  STAGGER IDENT_____	!  0.021496	   4.395519	   5.444371	   5.384918	   1.638329	     80.74 % 
50000 1024  SAWTOTH IDENT_____	   0.021899	   1.692349	   0.955224	   0.904295	   1.196607	    177.17 % .!!!!.
50000 1024  _RANDOM IDENT_____	   0.021929	   5.002305	   5.420896	   5.392811	   1.454553	     92.28 % 
50000 1024  PLATEAU IDENT_____	   0.021917	   0.050488	   0.079118	   0.030012	   0.042713	     63.81 % 
50000 1024  SHUFFLE IDENT_____	   0.021900	   1.533587	   0.732623	   0.722401	   2.042193	    209.33 % .!!!!!.
50000 1024  STAGGER REVERSE___	   0.021905	   4.430380	   5.630113	   5.612448	   1.633662	     78.69 % 
50000 1024  SAWTOTH REVERSE___	   0.021922	   1.665276	   1.004575	   0.951824	   1.256121	    165.77 % .!!!!.
50000 1024  _RANDOM REVERSE___	   0.021900	   4.985737	   5.444438	   5.422441	   1.453974	     91.57 % 
50000 1024  PLATEAU REVERSE___	   0.021949	   0.118865	   0.040365	   0.027872	!  0.030934	    294.47 % .!!!!!.
50000 1024  SHUFFLE REVERSE___	   0.021914	   1.403443	!  1.612358	!  1.607854	   1.965825	     87.04 % 
50000 1024  STAGGER REVERSE_FR	   0.021877	   4.483108	   5.511979	   5.517020	   1.636175	     81.33 % 
50000 1024  SAWTOTH REVERSE_FR	   0.021862	   1.620188	   0.989074	   0.931905	   1.246934	    163.81 % .!!!!.
50000 1024  _RANDOM REVERSE_FR	   0.021900	   4.994873	   5.431023	   5.418494	   1.457128	     91.97 % 
50000 1024  PLATEAU REVERSE_FR	   0.021868	   0.330759	   0.040436	   0.028231	   0.033596	    817.98 % .!!!!!.
50000 1024  SHUFFLE REVERSE_FR	   0.021937	   1.548498	!  1.428425	!  1.429708	   1.966141	    108.41 % .!.
50000 1024  STAGGER REVERSE_BA	   0.021926	   4.435100	   5.599165	   5.586223	   1.630128	     79.21 % 
50000 1024  SAWTOTH REVERSE_BA	   0.021929	   1.626471	   0.983894	   0.928651	   1.272006	    165.31 % .!!!!.
50000 1024  _RANDOM REVERSE_BA	   0.021956	   5.037875	   5.492288	   5.465121	   1.457573	     91.73 % 
50000 1024  PLATEAU REVERSE_BA	   0.021973	   0.050671	   0.078971	!  0.029087	   0.042722	     64.16 % 
